CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Dedicated_Veteran_Beds_ES_TH_SH,Dedicated_Youth_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Dedicated_Veteran_Beds_ES,Dedicated_Youth_Beds_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Dedicated_Veteran_Beds_TH,Dedicated_Youth_Beds_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Dedicated_Veteran_Beds_SH,Dedicated_Youth_Beds_SH,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Dedicated_Veteran_Beds_RRH,Dedicated_Youth_Beds_RRH,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Dedicated_Veteran_Beds_PSH,Dedicated_Youth_Beds_PSH,Dedicated_Chronically_Homeless_Beds_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH,Dedicated_Veteran_Beds_OPH,Dedicated_Youth_Beds_OPH
MA-509,396,375,339,0.8561,237,159,0,64,162,234,0,0,0,221,221,0.9325,95,17,26,64,173,0,0,0,154,118,0.7421,38,98,61,0,0,0,0,0,.,0,0,0,0,0,0,25,25,25,1,6,19,6,0,0,0,472,450,295,0.625,20,51,421,0,155,10,165,123,123,32,0.2602,13,32,91,0,0,0
MA-510,683,666,647,0.9473,615,62,6,170,507,176,0,25,0,598,598,0.9724,0,27,162,489,126,0,0,0,62,43,0.6935,8,18,44,0,25,0,6,6,1,0,0,6,0,0,0,159,159,96,0.6038,52,147,12,0,0,0,415,415,216,0.5205,57,163,252,0,249,0,218,393,393,194,0.4936,78,270,123,0,41,0
MA-511,983,958,958,0.9746,968,0,15,254,714,269,0,30,0,943,943,0.9742,28,26,254,714,254,0,15,0,0,0,.,0,0,0,0,0,0,15,15,1,0,0,15,0,15,0,770,770,770,1,255,710,60,0,25,18,886,886,862,0.9729,110,311,575,0,320,0,428,0,0,0,.,0,0,0,0,0,0
MA-515,344,331,260,0.7558,320,24,0,86,315,29,0,0,0,307,260,0.8125,10,30,76,291,29,0,0,0,24,0,0,10,24,0,0,0,0,0,0,.,0,0,0,0,0,0,213,213,213,1,74,209,4,0,0,0,181,181,181,1,28,87,94,0,15,11,168,0,0,0,.,0,0,0,0,0,0
MA-516,1531,1327,1049,0.6852,1218,303,10,489,1242,285,4,52,20,1175,1031,0.8465,27,528,401,1014,200,4,6,4,142,18,0.0594,88,228,75,0,36,16,10,0,0,0,0,10,0,10,0,340,340,14,0.0412,112,327,13,0,25,0,1220,1210,549,0.45,133,394,826,0,572,0,511,272,264,66,0.2426,29,84,188,0,56,3
MA-517,125,108,108,0.864,78,47,0,14,34,91,0,22,15,61,61,0.7821,0,3,11,28,50,0,0,0,47,47,1,3,6,41,0,22,15,0,0,.,0,0,0,0,0,0,6,6,0,0,3,6,0,0,0,0,128,128,128,1,15,37,91,0,0,22,56,34,34,31,0.9118,8,26,8,0,0,0
MA-519,220,208,170,0.7727,170,50,0,46,178,42,0,0,0,158,158,0.9294,0,0,31,140,30,0,0,0,50,12,0.24,15,38,12,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,79,79,73,0.9241,6,17,62,0,3,0,67,8,8,0,0,0,0,8,0,0,0
MD-500,124,96,74,0.5968,88,36,0,20,86,38,0,0,0,60,38,0.4318,22,7,5,52,36,0,0,0,36,36,1,15,34,2,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,75,75,75,1,15,46,29,0,0,0,2,0,0,0,.,0,0,0,0,0,0
MD-501,2247,2163,1474,0.656,1259,958,30,122,454,1785,8,351,55,1197,917,0.7284,69,0,69,315,936,8,84,8,936,527,0.5501,53,139,819,0,257,47,30,30,1,0,0,30,0,10,0,371,316,316,0.8518,85,280,91,0,64,23,2779,2779,2192,0.7888,525,1222,1557,0,695,51,658,1409,1409,121,0.0859,287,752,657,0,0,0
MD-502,161,133,133,0.8261,81,80,0,39,109,52,0,0,0,53,53,0.6543,31,19,22,38,43,0,0,0,80,80,1,17,71,9,0,0,0,0,0,.,0,0,0,0,0,0,35,32,0,0,10,31,4,0,0,0,159,159,135,0.8491,27,99,60,0,24,0,26,0,0,0,.,0,0,0,0,0,0
MD-503,151,142,142,0.9404,132,19,0,38,93,58,0,6,0,123,123,0.9318,65,64,34,80,52,0,0,0,19,19,1,4,13,6,0,6,0,0,0,.,0,0,0,0,0,0,64,64,64,1,19,52,12,0,0,0,267,267,266,0.9963,43,113,154,0,0,0,177,68,68,68,1,23,59,9,0,0,0
MD-504,100,65,65,0.65,100,0,0,26,71,29,0,0,0,65,65,0.65,22,9,26,71,29,0,0,0,0,0,.,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,77,77,75,0.974,8,29,48,0,2,0,25,36,36,36,1,9,26,10,0,0,0
MD-505,585,548,548,0.9368,510,75,0,63,437,148,0,0,0,473,473,0.9275,46,0,38,362,148,0,0,0,75,75,1,25,75,0,0,0,0,0,0,.,0,0,0,0,0,0,166,162,162,0.9759,51,139,27,0,30,0,544,544,276,0.5074,94,292,252,0,268,0,336,0,0,0,.,0,0,0,0,0,0
MD-506,134,123,123,0.9179,62,47,25,51,86,48,0,0,0,51,51,0.8226,25,15,41,41,21,0,0,0,47,47,1,10,45,2,0,0,0,25,25,1,0,0,25,0,0,0,40,40,40,1,10,37,3,0,0,0,38,38,38,1,3,13,25,0,1,0,36,0,0,0,.,0,0,0,0,0,0
MD-507,132,110,110,0.8333,22,110,0,22,76,56,0,29,0,0,0,0,35,0,6,22,0,0,0,0,110,110,1,16,54,56,0,29,0,0,0,.,0,0,0,0,0,0,26,21,21,0.8077,2,5,21,0,21,0,122,122,27,0.2213,4,11,111,0,95,0,20,0,0,0,.,0,0,0,0,0,0
MD-508,160,152,148,0.925,114,46,0,20,102,58,0,0,0,108,104,0.9123,95,17,9,75,39,0,0,0,44,44,0.9565,11,27,19,0,0,0,0,0,.,0,0,0,0,0,0,74,74,40,0.5405,15,54,20,0,1,0,286,286,277,0.9685,48,173,113,0,0,0,97,0,0,0,.,0,0,0,0,0,0
