CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non_DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non_DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
CT-503,401,376,372,0.9277,233,168,0,62,227,174,0,217,213,0.9142,0,9,39,149,84,0,159,159,0.9464,23,78,90,0,0,0,.,0,0,0,0,11,11,11,1,2,11,0,0,11,11,11,1,2,11,0,0,0,0,0,.,0,0,0,0,739,739,739,1,107,294,445,0,0,0,0,.,0,0,0,0
CT-505,1815,1578,1472,0.811,1194,621,0,267,799,1012,4,1023,993,0.8317,234,158,159,501,689,4,555,479,0.7713,108,298,323,0,0,0,.,0,0,0,0,210,210,116,0.5524,52,158,52,0,210,210,116,0.5524,52,158,52,0,0,0,0,.,0,0,0,0,3278,3209,2488,0.759,457,1287,1991,0,0,0,0,.,0,0,0,0
CT-506,156,141,117,0.75,146,10,0,12,71,85,0,131,117,0.8014,1,14,11,61,85,0,10,0,0,1,10,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,211,211,210,0.9953,21,56,155,0,0,0,0,.,0,0,0,0
CT-508,246,231,218,0.8862,157,89,0,43,99,133,14,142,142,0.9045,16,16,15,36,107,14,89,76,0.8539,28,63,26,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,163,163,163,1,7,17,146,0,0,0,0,.,0,0,0,0
CT-512,171,156,156,0.9123,171,0,0,22,93,78,0,156,156,0.9123,0,0,22,93,78,0,0,0,.,0,0,0,0,0,0,.,0,0,0,0,20,20,17,0.85,4,12,8,0,20,20,17,0.85,4,12,8,0,0,0,0,.,0,0,0,0,472,472,270,0.572,61,209,263,0,0,0,0,.,0,0,0,0
DC-500,7281,7096,6625,0.9099,5157,2124,0,1349,4084,3183,14,5015,4923,0.9546,840,0,915,2936,2211,10,2081,1702,0.8013,434,1148,972,4,0,0,.,0,0,0,0,2326,2326,2326,1,682,2261,65,0,2326,2326,2326,1,682,2261,65,0,0,0,0,.,0,0,0,0,6414,6380,3121,0.4866,871,2777,3637,0,0,0,0,.,0,0,0,0
DE-500,1172,1098,736,0.628,552,620,0,199,561,603,8,478,363,0.6576,76,14,73,238,311,3,620,373,0.6016,126,323,292,5,0,0,.,0,0,0,0,130,130,130,1,29,96,34,0,130,130,130,1,29,96,34,0,0,0,0,.,0,0,0,0,598,598,437,0.7308,25,57,541,0,0,0,0,.,0,0,0,0
FL-500,785,717,589,0.7503,387,398,0,83,292,446,47,319,319,0.8243,0,126,18,80,275,32,398,270,0.6784,65,212,171,15,0,0,.,0,0,0,0,32,32,32,1,5,22,10,0,32,32,32,1,5,22,10,0,0,0,0,.,0,0,0,0,283,283,283,1,28,102,181,0,0,0,0,.,0,0,0,0
FL-501,1049,904,784,0.7474,449,590,10,138,367,682,0,341,274,0.6102,0,28,38,95,354,0,553,500,0.8475,100,272,318,0,10,10,1,0,0,10,0,80,80,80,1,14,52,28,0,80,80,80,1,14,52,28,0,0,0,0,.,0,0,0,0,1322,1322,977,0.739,154,471,851,0,102,102,0,0,20,49,53,0
FL-502,2367,2222,2134,0.9016,1363,959,45,160,581,1786,0,1297,1297,0.9516,0,102,60,254,1109,0,880,792,0.8259,100,327,632,0,45,45,1,0,0,45,0,18,18,18,1,0,0,18,0,18,18,18,1,0,0,18,0,0,0,0,.,0,0,0,0,1009,1009,1009,1,69,154,855,0,0,0,0,.,0,0,0,0
FL-503,433,433,283,0.6536,178,255,0,41,207,226,0,178,142,0.7978,0,15,11,54,124,0,255,141,0.5529,30,153,102,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,139,139,139,1,40,95,44,0,0,0,0,.,0,0,0,0
FL-504,594,459,390,0.6566,150,444,0,97,380,208,6,83,71,0.4733,187,0,22,80,70,0,376,319,0.7185,75,300,138,6,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,319,319,92,0.2884,54,167,152,0,0,0,0,.,0,0,0,0
FL-505,229,205,205,0.8952,81,148,0,21,107,114,8,57,57,0.7037,490,20,10,33,48,0,148,148,1,11,74,66,8,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,60,60,60,1,18,60,0,0,55,55,55,1,11,55,0,0
FL-506,578,490,419,0.7249,187,391,0,58,196,358,24,144,144,0.7701,49,110,10,42,127,18,346,275,0.7033,48,154,231,6,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,538,538,391,0.7268,95,241,297,0,0,0,0,.,0,0,0,0
FL-507,2466,2197,1780,0.7218,1105,1361,0,285,1050,1317,99,911,702,0.6353,0,235,88,352,729,24,1286,1078,0.7921,197,698,588,75,0,0,.,0,0,0,0,258,258,258,1,64,258,0,0,0,0,0,.,0,0,0,0,258,258,258,1,64,258,0,0,1196,1196,218,0.1823,58,151,1045,0,0,0,0,.,0,0,0,0
FL-508,333,271,198,0.5946,132,201,0,41,147,154,32,81,81,0.6136,75,0,14,61,39,32,190,117,0.5821,27,86,115,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,852,852,71,0.0833,74,183,669,0,0,0,0,.,0,0,0,0
FL-509,314,247,241,0.7675,148,166,0,74,263,39,12,81,75,0.5068,0,0,36,131,5,12,166,166,1,38,132,34,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,293,293,282,0.9625,55,109,184,0,0,0,0,.,0,0,0,0
FL-510,1714,1583,1155,0.6739,904,810,0,237,730,930,54,773,543,0.6007,145,23,69,277,605,22,810,612,0.7556,168,453,325,32,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,1286,1286,334,0.2597,378,717,569,0,109,109,0,0,0,0,109,0
FL-511,784,734,644,0.8214,288,496,0,46,203,569,12,238,196,0.6806,0,31,19,89,199,0,496,448,0.9032,27,114,370,12,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,283,283,253,0.894,0,0,283,0,0,0,0,.,0,0,0,0
FL-512,255,195,148,0.5804,84,171,0,87,178,77,0,40,40,0.4762,0,24,23,52,32,0,155,108,0.6316,64,126,45,0,0,0,.,0,0,0,0,61,61,61,1,17,57,4,0,61,61,61,1,17,57,4,0,0,0,0,.,0,0,0,0,76,76,0,0,14,37,39,0,0,0,0,.,0,0,0,0
FL-513,826,798,652,0.7893,112,714,0,225,610,186,30,112,39,0.3482,132,8,5,23,69,20,686,613,0.8585,220,587,117,10,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,174,174,174,1,33,123,51,0,0,0,0,.,0,0,0,0
FL-514,369,318,318,0.8618,203,166,0,30,164,163,42,152,152,0.7488,0,0,11,81,92,30,166,166,1,19,83,71,12,0,0,.,0,0,0,0,7,7,7,1,0,0,7,0,7,7,7,1,0,0,7,0,0,0,0,.,0,0,0,0,102,102,102,1,75,97,5,0,0,0,0,.,0,0,0,0
FL-515,186,186,156,0.8387,24,162,0,43,68,118,0,24,24,1,25,0,2,9,15,0,162,132,0.8148,41,59,103,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,50,50,0,0,0,0,50,0,0,0,0,.,0,0,0,0
FL-516,75,75,75,1,40,35,0,2,30,30,15,40,40,1,0,0,2,30,10,0,35,35,1,0,0,20,15,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,40,40,40,1,10,27,13,0,0,0,0,.,0,0,0,0
FL-517,241,179,76,0.3154,126,115,0,62,163,78,0,82,0,0,0,3,27,60,66,0,97,76,0.6609,35,103,12,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,88,54,54,0.6136,30,74,14,0,0,0,0,.,0,0,0,0
FL-518,107,57,57,0.5327,56,51,0,14,40,55,12,14,14,0.25,0,0,12,32,12,12,43,43,0.8431,2,8,43,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,26,15,11,0.4231,5,15,11,0,0,0,0,.,0,0,0,0
FL-519,172,116,101,0.5872,74,98,0,17,57,111,4,18,18,0.2432,0,11,14,38,32,4,98,83,0.8469,3,19,79,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,168,168,84,0.5,58,149,19,0,0,0,0,.,0,0,0,0
FL-520,316,212,212,0.6709,183,133,0,63,176,139,1,85,85,0.4645,34,44,38,112,70,1,127,127,0.9549,25,64,69,0,0,0,.,0,0,0,0,10,10,10,1,1,8,2,0,10,10,10,1,1,8,2,0,0,0,0,.,0,0,0,0,58,58,58,1,11,35,23,0,3,3,3,1,0,0,3,0
FL-600,3649,3144,2359,0.6465,2026,1595,28,442,1762,1839,48,1891,1424,0.7029,20,10,202,829,1149,48,1225,907,0.5687,240,933,662,0,28,28,1,0,0,28,0,381,381,300,0.7874,79,239,142,0,381,381,300,0.7874,79,239,142,0,0,0,0,.,0,0,0,0,3939,3939,2973,0.7548,546,1911,2028,0,0,0,0,.,0,0,0,0
FL-601,2026,1894,1396,0.689,775,1216,35,225,729,1291,6,643,566,0.7303,0,505,55,220,555,0,1216,795,0.6538,170,509,701,6,35,35,1,0,0,35,0,161,161,126,0.7826,47,140,21,0,161,161,126,0.7826,47,140,21,0,0,0,0,.,0,0,0,0,1861,1560,975,0.5239,215,684,1177,0,0,0,0,.,0,0,0,0
FL-602,232,220,220,0.9483,72,156,4,38,75,135,22,60,60,0.8333,0,0,16,32,40,0,156,156,1,22,43,91,22,4,4,1,0,0,4,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,62,62,62,1,3,5,57,0,39,39,39,1,0,0,39,0
FL-603,486,396,346,0.7119,283,203,0,26,121,355,10,193,168,0.5936,0,0,24,115,158,10,203,178,0.8768,2,6,197,0,0,0,.,0,0,0,0,25,25,24,0.96,4,13,12,0,25,25,24,0.96,4,13,12,0,0,0,0,.,0,0,0,0,323,323,128,0.3963,197,201,122,0,0,0,0,.,0,0,0,0
FL-604,439,380,380,0.8656,268,171,0,25,89,342,8,209,209,0.7799,0,0,15,54,206,8,171,171,1,10,35,136,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,191,191,176,0.9215,15,46,145,0,0,0,0,.,0,0,0,0
FL-605,864,677,653,0.7558,367,481,16,81,364,480,20,266,252,0.6866,0,2,48,214,143,10,395,385,0.8004,33,150,321,10,16,16,1,0,0,16,0,669,669,669,1,130,350,319,0,669,669,669,1,130,350,319,0,0,0,0,.,0,0,0,0,977,977,645,0.6602,116,508,469,0,0,0,0,.,0,0,0,0
FL-606,427,355,295,0.6909,221,206,0,32,81,346,0,161,121,0.5475,0,36,19,51,170,0,194,174,0.8447,13,30,176,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,27,27,25,0.9259,1,3,24,0,0,0,0,.,0,0,0,0
GA-500,3747,3692,2680,0.7152,2027,1720,0,183,733,3014,0,1986,1292,0.6374,148,166,70,362,1665,0,1706,1388,0.807,113,371,1349,0,0,0,.,0,0,0,0,149,149,140,0.9396,37,125,19,5,149,149,140,0.9396,37,125,19,5,0,0,0,.,0,0,0,0,1677,1677,1412,0.842,253,557,1120,0,0,0,0,.,0,0,0,0
GA-501,2756,1619,1379,0.5004,1526,1230,0,545,1809,941,6,822,601,0.3938,13,141,230,737,783,6,797,778,0.6325,315,1072,158,0,0,0,.,0,0,0,0,223,174,174,0.7803,68,196,27,0,223,174,174,0.7803,68,196,27,0,0,0,0,.,0,0,0,0,2134,2101,1831,0.858,362,769,1365,0,0,0,0,.,0,0,0,0
GA-502,365,358,235,0.6438,56,309,0,86,211,154,0,53,53,0.9464,0,0,16,47,9,0,305,182,0.589,70,164,145,0,0,0,.,0,0,0,0,16,16,16,1,2,6,10,0,16,16,16,1,2,6,10,0,0,0,0,.,0,0,0,0,336,336,325,0.9673,98,247,89,0,0,0,0,.,0,0,0,0
GA-503,143,127,127,0.8881,85,58,0,36,80,63,0,69,69,0.8118,35,2,7,30,55,0,58,58,1,29,50,8,0,0,0,.,0,0,0,0,107,91,91,0.8505,30,89,18,0,107,91,91,0.8505,30,89,18,0,0,0,0,.,0,0,0,0,131,131,97,0.7405,18,43,88,0,0,0,0,.,0,0,0,0
GA-504,365,365,353,0.9671,215,150,0,29,113,252,0,215,203,0.9442,0,0,8,53,162,0,150,150,1,21,60,90,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,166,166,53,0.3193,132,137,29,0,0,0,0,.,0,0,0,0
GA-505,226,192,102,0.4513,184,42,0,25,76,150,0,150,60,0.3261,0,0,25,76,108,0,42,42,1,0,0,42,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,168,168,140,0.8333,0,0,168,0,0,0,0,.,0,0,0,0
GA-506,401,308,298,0.7431,119,282,0,91,254,147,0,87,87,0.7311,0,38,25,60,59,0,221,211,0.7482,66,194,88,0,0,0,.,0,0,0,0,8,8,8,1,2,7,1,0,8,8,8,1,2,7,1,0,0,0,0,.,0,0,0,0,276,276,108,0.3913,41,124,152,0,0,0,0,.,0,0,0,0
GA-507,637,599,370,0.5808,304,333,0,53,168,457,12,266,216,0.7105,54,0,23,103,189,12,333,154,0.4625,30,65,268,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,675,675,545,0.8074,107,445,230,0,0,0,0,.,0,0,0,0
GA-508,616,532,348,0.5649,249,367,0,99,384,232,0,187,117,0.4699,0,1,29,136,113,0,345,231,0.6294,70,248,119,0,0,0,.,0,0,0,0,18,18,18,1,4,17,1,0,18,18,18,1,4,17,1,0,0,0,0,.,0,0,0,0,1360,1360,476,0.35,195,496,864,0,0,0,0,.,0,0,0,0
GU-500,186,123,160,0.8602,102,84,0,24,96,53,37,49,78,0.7647,0,7,14,52,21,29,74,82,0.9762,10,44,32,8,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,102,102,60,0.5882,9,28,74,0,0,0,0,.,0,0,0,0
HI-500,823,733,733,0.8906,331,492,0,152,539,284,0,253,253,0.7644,0,3,49,168,163,0,480,480,0.9756,103,371,121,0,0,0,.,0,0,0,0,78,78,78,1,8,24,54,0,78,78,78,1,8,24,54,0,0,0,0,.,0,0,0,0,361,361,361,1,26,101,260,0,0,0,0,.,0,0,0,0
HI-501,3513,3412,3363,0.9573,1161,2327,25,617,2427,1070,16,1078,1029,0.8863,0,61,150,552,593,16,2309,2309,0.9923,467,1875,452,0,25,25,1,0,0,25,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,859,859,698,0.8126,29,97,762,0,0,0,0,.,0,0,0,0
IA-500,287,256,137,0.4774,154,133,0,44,141,146,0,123,4,0.026,15,0,15,48,106,0,133,133,1,29,93,40,0,0,0,.,0,0,0,0,7,7,7,1,2,7,0,0,7,7,7,1,2,7,0,0,0,0,0,.,0,0,0,0,83,83,58,0.6988,11,30,53,0,0,0,0,.,0,0,0,0
IA-501,2495,1934,1456,0.5836,1089,1406,0,507,1556,936,3,754,413,0.3792,0,29,195,504,585,0,1180,1043,0.7418,312,1052,351,3,0,0,.,0,0,0,0,254,20,20,0.0787,71,211,43,0,254,20,20,0.0787,71,211,43,0,0,0,0,.,0,0,0,0,424,424,291,0.6863,60,184,240,0,0,0,0,.,0,0,0,0
IA-502,861,790,765,0.8885,438,423,0,117,368,492,1,380,358,0.8174,0,71,41,135,303,0,410,407,0.9622,76,233,189,1,0,0,.,0,0,0,0,3,3,3,1,0,0,3,0,3,3,3,1,0,0,3,0,0,0,0,.,0,0,0,0,591,591,410,0.6937,89,337,254,0,171,171,171,1,25,105,66,0
ID-500,772,672,282,0.3653,448,324,0,93,231,529,12,392,158,0.3527,0,27,63,139,297,12,280,124,0.3827,30,92,232,0,0,0,.,0,0,0,0,122,122,122,1,39,116,6,0,122,122,122,1,39,116,6,0,0,0,0,.,0,0,0,0,351,351,161,0.4587,47,147,204,0,0,0,0,.,0,0,0,0
ID-501,996,825,615,0.6175,411,585,0,193,641,353,2,240,177,0.4307,0,26,72,224,185,2,585,438,0.7487,121,417,168,0,0,0,.,0,0,0,0,97,97,97,1,27,74,23,0,97,97,97,1,27,74,23,0,0,0,0,.,0,0,0,0,484,475,470,0.9711,83,276,208,0,0,0,0,.,0,0,0,0
IL-500,174,153,153,0.8793,61,113,0,25,95,79,0,40,40,0.6557,40,0,9,30,31,0,113,113,1,16,65,48,0,0,0,.,0,0,0,0,17,17,16,0.9412,4,15,2,0,17,17,16,0.9412,4,15,2,0,0,0,0,.,0,0,0,0,28,28,28,1,0,0,28,0,50,50,50,1,13,46,4,0
IL-501,465,422,422,0.9075,250,215,0,62,178,254,33,210,210,0.84,0,30,25,86,131,33,212,212,0.986,37,92,123,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,372,372,372,1,63,177,195,0,0,0,0,.,0,0,0,0
IL-502,353,245,179,0.5071,153,185,15,64,228,125,0,94,32,0.2092,75,70,27,84,69,0,136,132,0.7135,37,144,41,0,15,15,1,0,0,15,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,233,233,104,0.4464,25,78,155,0,0,0,0,.,0,0,0,0
IL-503,195,184,184,0.9436,11,184,0,23,57,130,8,11,11,1,8,0,1,2,1,8,173,173,0.9402,22,55,129,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,68,68,68,1,4,9,59,0,0,0,0,.,0,0,0,0
IL-504,234,198,169,0.7222,110,124,0,63,209,25,0,74,65,0.5909,0,6,30,88,22,0,124,104,0.8387,33,121,3,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,151,151,151,1,22,69,82,0,0,0,0,.,0,0,0,0
IL-506,325,282,282,0.8677,162,163,0,46,148,177,0,142,142,0.8765,0,5,14,45,117,0,140,140,0.8589,32,103,60,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,372,372,372,1,68,240,132,0,0,0,0,.,0,0,0,0
IL-507,537,450,298,0.5549,346,191,0,73,256,281,0,285,175,0.5058,0,0,27,125,221,0,165,123,0.644,46,131,60,0,0,0,.,0,0,0,0,7,0,0,0,3,7,0,0,7,0,0,0,3,7,0,0,0,0,0,.,0,0,0,0,191,191,151,0.7906,16,47,144,0,0,0,0,.,0,0,0,0
IL-508,204,158,154,0.7549,69,135,0,51,147,57,0,23,19,0.2754,0,16,20,59,10,0,135,135,1,31,88,47,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,277,277,249,0.8989,58,134,143,0,0,0,0,.,0,0,0,0
IL-509,116,86,86,0.7414,54,62,0,23,76,40,0,54,54,1,0,6,1,14,40,0,32,32,0.5161,22,62,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,84,84,59,0.7024,12,16,68,0,0,0,0,.,0,0,0,0
IL-510,5991,5728,4658,0.7775,2048,3902,41,936,3151,2836,4,1971,1057,0.5161,0,16,64,357,1691,0,3716,3560,0.9124,872,2794,1104,4,41,41,1,0,0,41,0,447,447,447,1,143,396,51,0,447,447,447,1,143,396,51,0,0,0,0,.,0,0,0,0,8406,8329,6688,0.7956,1057,2811,5595,0,17,17,0,0,0,0,17,0
IL-511,826,671,646,0.7821,205,606,15,172,560,255,11,73,56,0.2732,354,0,29,133,66,6,583,575,0.9488,143,427,174,5,15,15,1,0,0,15,0,107,107,107,1,20,64,43,0,107,107,107,1,20,64,43,0,0,0,0,.,0,0,0,0,979,979,537,0.5485,132,406,573,0,5,5,0,0,0,0,5,0
IL-512,478,441,367,0.7678,327,127,24,81,214,255,9,290,239,0.7309,24,93,49,117,210,0,127,104,0.8189,32,97,21,9,24,24,1,0,0,24,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,100,100,100,1,12,38,62,0,0,0,0,.,0,0,0,0
IL-513,305,273,273,0.8951,151,154,0,48,176,126,3,119,119,0.7881,55,0,27,109,42,0,154,154,1,21,67,84,3,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,146,146,146,1,29,61,55,30,0,0,0,.,0,0,0,0
IL-514,668,598,598,0.8952,173,495,0,133,409,251,8,129,129,0.7457,39,19,18,54,111,8,469,469,0.9475,115,355,140,0,0,0,.,0,0,0,0,23,23,23,1,5,16,7,0,23,23,23,1,5,16,7,0,0,0,0,.,0,0,0,0,335,335,335,1,57,189,146,0,0,0,0,.,0,0,0,0
IL-515,210,171,105,0.5,118,92,0,49,157,53,0,94,44,0.3729,0,0,20,68,50,0,77,61,0.663,29,89,3,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,31,31,31,1,9,24,7,0,0,0,0,.,0,0,0,0
IL-516,248,218,113,0.4556,166,82,0,41,109,133,6,136,40,0.241,0,30,9,39,121,6,82,73,0.8902,32,70,12,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,119,119,103,0.8655,23,62,57,0,0,0,0,.,0,0,0,0
IL-517,425,318,318,0.7482,316,109,0,55,169,256,0,248,248,0.7848,0,19,26,84,232,0,70,70,0.6422,29,85,24,0,0,0,.,0,0,0,0,24,24,24,1,6,16,8,0,24,24,24,1,6,16,8,0,0,0,0,.,0,0,0,0,115,115,112,0.9739,2,9,106,0,0,0,0,.,0,0,0,0
IL-518,259,192,131,0.5058,95,164,0,46,162,85,12,46,8,0.0842,32,0,15,49,46,0,146,123,0.75,31,113,39,12,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,32,32,32,1,0,0,32,0,0,0,0,.,0,0,0,0
IL-519,253,224,44,0.1739,92,161,0,32,122,131,0,68,0,0,0,102,5,25,67,0,156,44,0.2733,27,97,64,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,69,69,2,0.029,16,67,2,0,0,0,0,.,0,0,0,0
IL-520,410,297,189,0.461,267,143,0,66,202,208,0,170,130,0.4869,0,6,42,122,145,0,127,59,0.4126,24,80,63,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,209,209,146,0.6986,31,124,85,0,0,0,0,.,0,0,0,0
IN-500,484,392,392,0.8099,140,344,0,64,207,271,6,86,86,0.6143,86,0,12,38,96,6,306,306,0.8895,52,169,175,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,204,190,113,0.5539,5,15,189,0,0,0,0,.,0,0,0,0
IN-502,4527,3483,2047,0.4522,2769,1758,0,747,2462,2008,57,2044,1177,0.4251,142,167,390,1375,1354,40,1439,870,0.4949,357,1087,654,17,0,0,.,0,0,0,0,873,866,854,0.9782,185,644,229,0,873,866,854,0.9782,185,644,229,0,0,0,0,.,0,0,0,0,1581,1581,1266,0.8008,225,585,996,0,0,0,0,.,0,0,0,0
