CoC_Number,Total_Year_Round_Beds_ES_TH_RRH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_RRH_SH,Total_HMIS_Year_Round_Beds_ES_TH_RRH_SH,HMIS_Participation_Rate_ES_TH_RRH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_overflow,Total_Transitional_Housing_TH_Beds,Total_Rapid_Rehousing_RRH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH_RRH,Total_Beds_for_Households_with_Children_ES_TH_RRH,Total_Beds_for_Households_without_Children_ES_TH_RRH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_RRH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_ES_Beds_for_Households_with_only_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_TH_Beds_for_Households_with_only_Children,Total_RRH_Beds,Total_Year_Round_RRH_Beds,Total_Non_DV_Year_Round_RRH_Beds,Total_HMIS_Year_Round_RRH_Beds,RRH_HMIS_Participation_Rate,Total_RRH_Units_for_Households_with_Children,Total_RRH_Beds_for_Households_with_Children,Total_RRH_Beds_for_Households_without_Children,Total_RRH_Beds_for_Households_with_only_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_SH_Beds_for_Households_with_only_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children,Total_PSH_Beds_for_Households_with_only_Children
NJ-520,103,93,78,0.839,81,0,22,0,13,45,58,0,81,71,56,0.789,0,31,11,37,44,0,0,0,0,0,0,0,0,0,0,22,22,22,22,1,2,8,14,0,0,0,0,0,0,0,0,5,5,5,5,1,5,0,0,5,0
NM-500,886,703,459,0.653,318,522,46,0,147,458,428,0,318,253,105,0.415,315,84,29,95,223,0,522,522,404,308,0.762,109,335,187,0,46,46,46,46,1,9,28,18,0,0,0,0,0,0,0,0,967,967,967,523,0.541,329,149,357,610,0
NM-501,1706,1123,483,0.43,1079,494,133,0,243,1033,621,52,1079,651,140,0.215,195,32,83,572,455,52,494,494,339,238,0.702,116,343,151,0,133,133,133,105,0.789,44,118,15,0,0,0,0,0,0,0,0,569,569,569,395,0.694,175,130,282,287,0
NV-500,2899,2771,2583,0.932,1800,1074,0,25,227,661,2168,70,1800,1672,1508,0.902,347,60,120,383,1393,24,1074,1074,1074,1050,0.978,107,278,750,46,0,0,0,0,0,0,0,0,0,25,25,25,25,1,25,0,2032,2032,2032,1135,0.559,740,211,557,1475,0
NV-501,763,712,471,0.662,465,298,0,0,66,164,597,2,465,435,378,0.869,0,0,48,146,319,0,298,298,277,93,0.336,18,18,278,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,399,399,214,0.536,72,45,82,317,0
NV-502,267,134,130,0.97,162,105,0,0,108,213,54,0,162,71,71,1,0,231,38,125,37,0,105,105,63,59,0.937,70,88,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,167,167,74,0.443,14,21,92,75,0
NY-500,936,753,579,0.769,552,360,8,16,183,481,410,45,552,493,367,0.744,7,16,104,280,260,12,360,360,236,196,0.831,78,198,129,33,8,8,8,0,0,1,3,5,0,16,16,16,16,1,16,0,1879,1879,1826,1450,0.794,158,467,1117,762,0
NY-501,386,340,232,0.682,94,292,0,0,44,106,276,4,94,60,23,0.383,0,10,23,56,38,0,292,292,280,209,0.746,21,50,238,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,574,574,538,0.937,0,73,220,354,0
NY-502,54,33,24,0.727,25,29,0,0,7,22,32,0,25,16,16,1,0,2,2,7,18,0,29,29,17,8,0.471,5,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,61,61,1,5,15,43,18,0
NY-503,602,551,372,0.675,311,174,117,0,74,220,367,15,311,281,161,0.573,19,249,31,90,208,13,174,174,153,94,0.614,21,55,117,2,117,117,117,117,1,22,75,42,0,0,0,0,0,0,0,0,799,799,799,693,0.867,79,123,368,431,0
NY-504,63,55,52,0.945,24,17,22,0,20,48,15,0,24,16,13,0.813,0,9,8,18,6,0,17,17,17,17,1,8,15,2,0,22,22,22,22,1,4,15,7,0,0,0,0,0,0,0,0,51,51,51,46,0.902,2,9,15,36,0
NY-505,829,793,785,0.99,428,401,0,0,70,199,594,36,428,392,384,0.98,0,58,24,93,320,15,401,401,401,401,1,46,106,274,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,1199,1199,1182,0.986,160,140,329,870,0
NY-506,30,0,0,0,30,0,0,0,6,20,10,0,30,0,0,0,15,17,6,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54,0,0,8,0,0,54,0
NY-507,211,191,40,0.209,163,46,2,0,27,81,130,0,163,143,17,0.119,0,118,17,51,112,0,46,46,46,21,0.457,9,28,18,0,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,381,381,381,358,0.94,43,70,173,208,0
NY-508,1147,1025,618,0.603,560,571,0,16,152,442,673,32,560,497,259,0.521,55,0,70,194,341,25,571,571,512,343,0.67,82,248,316,7,0,0,0,0,0,0,0,0,0,16,16,16,16,1,16,0,1086,1086,1086,725,0.668,103,82,214,872,0
NY-509,66,48,0,0,51,5,10,0,13,23,38,5,51,33,0,0,0,0,6,15,34,2,5,5,5,0,0,2,3,2,0,10,10,10,0,0,5,5,2,3,0,0,0,0,0,0,0,15,15,15,0,0,15,5,14,1,0
NY-510,62,53,53,1,20,36,6,0,15,36,25,1,20,11,11,1,0,2,5,9,11,0,36,36,36,36,1,8,22,13,1,6,6,6,6,1,2,5,1,0,0,0,0,0,0,0,0,57,57,57,57,1,26,6,22,35,0
NY-511,304,269,218,0.81,163,141,0,0,78,112,192,0,163,128,106,0.828,2,4,74,97,66,0,141,141,141,112,0.794,4,15,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,310,310,262,0.845,64,42,95,215,0
NY-512,136,95,93,0.979,95,37,4,0,36,87,49,0,95,62,62,1,10,7,23,57,38,0,37,37,29,27,0.931,12,28,9,0,4,4,4,4,1,1,2,2,0,0,0,0,0,0,0,0,573,573,534,516,0.966,52,91,262,311,0
NY-513,177,177,177,1,159,18,0,0,15,52,124,1,159,159,159,1,0,0,14,47,111,1,18,18,18,18,1,1,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,147,147,145,0.986,4,9,21,126,0
NY-514,95,82,38,0.463,69,26,0,0,14,52,43,0,69,56,26,0.464,0,0,9,33,36,0,26,26,26,12,0.462,5,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,37,37,1,0,8,21,16,0
NY-516,68,59,0,0,68,0,0,0,10,35,33,0,68,59,0,0,0,0,10,35,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,81,0,0,16,15,44,37,0
NY-517,92,83,19,0.229,25,67,0,0,16,55,37,0,25,16,0,0,0,0,1,7,18,0,67,67,67,19,0.284,15,48,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY-518,256,189,111,0.587,144,78,34,0,54,138,117,1,144,116,48,0.414,0,4,26,58,85,1,78,78,39,29,0.744,21,57,21,0,34,34,34,34,1,7,23,11,0,0,0,0,0,0,0,0,430,430,430,367,0.853,51,91,217,213,0
NY-519,37,0,0,0,37,0,0,0,14,37,0,0,37,0,0,0,0,84,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,45,38,0.844,10,11,30,27,0
NY-520,17,17,0,0,17,0,0,0,2,7,10,0,17,17,0,0,0,14,2,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY-522,66,29,25,0.862,66,0,0,0,3,37,29,0,66,29,25,0.862,0,20,3,37,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,186,0.93,12,68,142,58,0
NY-523,175,134,93,0.694,75,73,27,0,24,66,93,16,75,57,16,0.281,0,101,6,18,41,16,73,73,50,50,1,15,36,37,0,27,27,27,27,1,3,12,15,0,0,0,0,0,0,0,0,142,142,131,131,1,11,21,59,83,0
NY-600,63952,60271,55046,0.913,56154,7659,0,139,12268,42042,21906,4,56154,53829,48963,0.91,0,296,11328,39026,17124,4,7659,7659,6303,5944,0.943,940,3016,4643,0,0,0,0,0,0,0,0,0,0,139,139,139,139,1,139,0,19599,19599,19293,10921,0.566,8877,1519,4482,15117,0
NY-601,450,371,281,0.757,246,204,0,0,113,281,169,0,246,202,120,0.594,0,16,73,178,68,0,204,204,169,161,0.953,40,103,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,176,176,118,0.67,22,32,76,100,0
NY-602,272,257,211,0.821,220,52,0,0,54,120,139,13,220,205,159,0.776,0,31,38,78,129,13,52,52,52,52,1,16,42,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,277,277,259,0.935,63,54,154,123,0
NY-603,2880,2726,2050,0.752,2115,765,0,0,648,2195,680,5,2115,2053,1453,0.708,150,538,516,1679,433,3,765,765,673,597,0.887,132,516,247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2092,2092,2065,1431,0.693,89,361,1193,899,0
NY-604,2357,2246,1867,0.831,992,1365,0,0,548,1653,690,14,992,902,704,0.78,35,0,159,520,458,14,1365,1365,1344,1163,0.865,389,1133,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622,1622,1622,901,0.555,134,257,740,882,0
NY-606,115,75,75,1,61,54,0,0,30,80,29,6,61,46,46,1,30,0,20,55,0,6,54,54,29,29,1,10,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,164,164,164,1,25,24,73,91,0
NY-607,19,10,10,1,10,0,0,9,0,0,19,0,10,10,10,1,0,329,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,9,0,54,54,54,54,1,12,9,18,36,0
NY-608,138,104,76,0.731,91,47,0,0,37,83,41,14,91,74,46,0.622,0,247,18,54,23,14,47,47,30,30,1,19,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,165,165,163,0.988,9,34,92,73,0
OH-500,2027,1852,1852,1,577,762,688,0,326,1113,894,20,577,505,505,1,100,52,34,182,375,20,762,762,701,701,1,124,424,338,0,688,688,646,646,1,168,507,181,0,0,0,0,0,0,0,0,1770,1770,1770,1569,0.886,265,220,679,1091,0
OH-501,1093,1029,688,0.669,474,438,169,12,168,495,595,3,474,449,173,0.385,30,57,64,163,308,3,438,438,399,334,0.837,61,178,260,0,169,169,169,169,1,43,154,15,0,12,12,12,12,1,12,0,1038,1038,1038,829,0.799,294,161,408,630,0
OH-502,2269,2224,1845,0.83,1063,930,256,20,251,756,1505,8,1063,1018,696,0.684,0,86,95,282,773,8,930,930,930,873,0.939,112,320,610,0,256,256,256,256,1,44,154,102,0,20,20,20,20,1,20,0,3585,3585,3585,3120,0.87,1247,622,1589,1996,0
OH-503,1341,1307,1291,0.988,761,197,383,0,211,666,654,21,761,727,711,0.978,375,94,64,194,551,16,197,197,197,197,1,31,89,103,5,383,383,383,383,1,116,383,0,0,0,0,0,0,0,0,0,2146,2146,2146,1913,0.891,495,178,530,1616,0
OH-504,337,313,313,1,178,105,53,1,65,202,125,10,178,154,154,1,0,0,27,89,79,10,105,105,105,105,1,24,75,30,0,53,53,53,53,1,14,38,15,0,1,1,1,1,1,1,0,300,300,300,300,1,69,70,216,84,0
OH-505,805,733,693,0.945,483,297,0,25,120,320,482,3,483,419,379,0.905,0,60,58,164,316,3,297,297,289,289,1,62,156,141,0,0,0,0,0,0,0,0,0,0,25,25,25,25,1,25,0,927,927,927,807,0.871,228,128,310,617,0
OH-506,783,668,609,0.912,280,379,114,10,127,411,349,23,280,256,250,0.977,0,92,34,108,154,18,379,379,288,235,0.816,66,204,170,5,114,114,114,114,1,27,99,15,0,10,10,10,10,1,10,0,432,432,432,345,0.799,142,40,112,320,0
OH-507,4178,3442,2834,0.823,2201,1697,270,10,839,2385,1773,20,2201,1617,1289,0.797,120,71,356,1090,1091,20,1697,1697,1545,1265,0.819,371,1033,664,0,270,270,270,270,1,112,262,8,0,10,10,10,10,1,10,0,2224,2224,2224,1980,0.89,263,323,896,1328,0
OH-508,468,388,356,0.918,254,194,0,20,104,294,174,0,254,185,153,0.827,0,23,53,150,104,0,194,194,183,183,1,51,144,50,0,0,0,0,0,0,0,0,0,0,20,20,20,20,1,20,0,441,441,441,401,0.909,168,80,149,292,0
OK-500,247,135,114,0.844,121,115,11,0,54,134,111,2,121,47,41,0.872,0,5,27,72,48,1,115,115,77,62,0.805,25,57,58,0,11,11,11,11,1,2,5,5,1,0,0,0,0,0,0,0,7,7,7,7,1,2,1,3,4,0
OK-501,886,752,738,0.981,528,308,0,50,91,313,530,43,528,423,423,1,0,143,57,171,337,20,308,308,279,265,0.95,34,142,143,23,0,0,0,0,0,0,0,0,0,50,50,50,50,1,50,0,295,295,295,193,0.654,129,5,10,285,0
OK-502,1374,1273,1075,0.844,1097,277,0,0,91,317,1039,18,1097,1042,921,0.884,0,32,57,187,892,18,277,277,231,154,0.667,34,130,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,578,565,369,0.653,152,50,153,425,0
OK-503,251,172,0,0,205,46,0,0,85,251,0,0,205,144,0,0,0,0,58,205,0,0,46,46,28,0,0,27,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34,0,0,0,17,34,0,0
OK-504,213,198,151,0.763,36,177,0,0,59,162,51,0,36,21,21,1,24,0,6,17,19,0,177,177,177,130,0.734,53,145,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,32,0.8,4,9,20,20,0
OK-505,451,365,172,0.471,363,53,35,0,56,163,260,28,363,285,100,0.351,0,0,40,117,220,26,53,53,53,45,0.849,8,24,29,0,35,35,27,27,1,8,22,11,2,0,0,0,0,0,0,0,85,85,59,49,0.831,43,8,24,61,0
OK-506,298,234,145,0.62,222,76,0,0,30,154,134,10,222,158,98,0.62,0,12,19,113,99,10,76,76,76,47,0.618,11,41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,8,0
OK-507,491,322,35,0.109,431,57,3,0,66,177,223,91,431,262,32,0.122,0,3,55,150,190,91,57,57,57,0,0,10,24,33,0,3,3,3,3,1,1,3,0,0,0,0,0,0,0,0,0,65,65,65,65,1,2,18,48,17,0
OR-500,805,784,282,0.36,566,239,0,0,81,271,524,10,566,545,43,0.079,35,247,14,87,469,10,239,239,239,239,1,67,184,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,397,397,243,0.612,92,31,84,313,0
OR-501,2964,2580,2210,0.857,790,1873,301,0,545,1556,1394,14,790,659,464,0.704,175,71,113,340,437,13,1873,1873,1718,1546,0.9,347,1011,861,1,301,301,203,200,0.985,85,205,96,0,0,0,0,0,0,0,0,3528,3528,3476,2351,0.676,920,331,989,2537,2
OR-502,539,505,158,0.313,317,222,0,0,42,128,383,28,317,283,16,0.057,12,0,21,63,238,16,222,222,222,142,0.64,21,65,145,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,349,349,120,0.344,259,33,110,239,0
OR-503,351,323,242,0.749,160,191,0,0,51,178,135,38,160,132,114,0.864,12,18,15,53,83,24,191,191,191,128,0.67,36,125,52,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,91,11,24,76,0
OR-505,2635,2371,1253,0.528,1183,1447,0,5,500,1435,1164,36,1183,1026,309,0.301,46,120,198,522,641,20,1447,1447,1340,939,0.701,302,913,518,16,0,0,0,0,0,0,0,0,0,5,5,5,5,1,5,0,641,641,635,474,0.746,78,126,374,266,1
OR-506,362,338,252,0.746,96,141,115,10,75,218,140,4,96,72,72,1,4,0,23,89,3,4,141,141,141,55,0.39,12,34,107,0,115,115,115,115,1,40,95,20,0,10,10,10,10,1,10,0,434,434,434,434,1,97,56,189,245,0
OR-507,266,129,129,1,44,95,127,0,85,247,19,0,44,16,16,1,0,0,14,40,4,0,95,95,82,82,1,28,81,14,0,127,127,31,31,1,43,126,1,0,0,0,0,0,0,0,0,298,298,291,247,0.849,30,51,174,124,0
PA-500,6213,6063,5090,0.84,3428,1998,672,115,1179,3490,2691,32,3428,3328,2662,0.8,356,8,516,1541,1855,32,1998,1998,1948,1686,0.866,478,1365,633,0,672,672,672,672,1,185,584,88,0,115,115,115,70,0.609,115,0,5409,5409,5409,4879,0.902,900,972,3237,2172,0
PA-501,399,373,358,0.96,191,183,0,25,71,202,197,0,191,173,159,0.919,32,16,26,77,114,0,183,183,175,174,0.994,45,125,58,0,0,0,0,0,0,0,0,0,0,25,25,25,25,1,25,0,162,162,162,99,0.611,30,17,51,111,0
PA-502,582,531,478,0.9,337,245,0,0,118,356,226,0,337,314,278,0.885,0,0,53,157,180,0,245,245,217,200,0.922,65,199,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,352,352,352,1,44,47,140,212,0
PA-503,257,199,184,0.925,80,144,33,0,37,118,139,0,80,58,58,1,0,64,8,24,56,0,144,144,108,93,0.861,25,82,62,0,33,33,33,33,1,4,12,21,0,0,0,0,0,0,0,0,335,335,335,237,0.707,33,44,148,187,0
PA-504,491,379,362,0.955,189,302,0,0,95,332,159,0,189,162,147,0.907,50,15,25,112,77,0,302,302,217,215,0.991,70,220,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,157,157,157,1,54,25,71,86,0
PA-505,686,594,551,0.928,286,392,0,8,59,219,467,0,286,261,218,0.835,15,2,18,81,205,0,392,392,325,325,1,41,138,254,0,0,0,0,0,0,0,0,0,0,8,8,8,8,1,8,0,476,476,476,460,0.966,298,19,47,429,0
PA-506,497,373,373,1,207,290,0,0,83,281,216,0,207,157,157,1,40,0,20,95,112,0,290,290,216,216,1,63,186,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,307,307,279,0.909,62,68,162,145,0
PA-507,1332,940,663,0.705,694,638,0,0,231,838,486,8,694,423,229,0.541,103,9,90,389,297,8,638,638,517,434,0.839,141,449,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,513,513,354,0.69,72,51,151,362,0
PA-508,233,217,217,1,51,178,0,4,53,150,83,0,51,44,44,1,24,0,9,22,29,0,178,178,169,169,1,44,128,50,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,4,0,83,83,83,75,0.904,83,8,24,59,0
PA-509,918,805,525,0.652,387,519,12,0,199,616,288,14,387,293,199,0.679,91,13,61,216,159,12,519,519,500,314,0.628,135,389,128,2,12,12,12,12,1,3,11,1,0,0,0,0,0,0,0,0,487,487,487,458,0.94,94,63,187,300,0
PA-510,573,512,507,0.99,240,311,22,0,106,305,268,0,240,202,202,1,45,5,39,113,127,0,311,311,288,283,0.983,60,170,141,0,22,22,22,22,1,7,22,0,0,0,0,0,0,0,0,0,197,197,197,152,0.772,35,22,59,138,0
PA-511,454,449,436,0.971,85,350,19,0,102,372,78,4,85,85,83,0.976,65,8,4,55,26,4,350,350,345,334,0.968,91,303,47,0,19,19,19,19,1,7,14,5,0,0,0,0,0,0,0,0,86,86,86,59,0.686,26,8,31,55,0
PA-512,328,244,244,1,186,142,0,0,52,182,146,0,186,148,148,1,0,1,27,101,85,0,142,142,96,96,1,25,81,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,203,203,182,0.897,17,7,24,179,0
PA-600,1524,1387,1244,0.897,433,1021,0,70,272,744,777,3,433,347,294,0.847,60,7,54,153,277,3,1021,1021,970,880,0.907,218,591,430,0,0,0,0,0,0,0,0,0,0,70,70,70,70,1,70,0,1818,1818,1818,1257,0.691,583,441,1193,625,0
PA-601,806,663,554,0.836,369,405,0,32,128,423,376,7,369,275,213,0.775,30,37,48,171,198,0,405,405,356,309,0.868,80,252,146,7,0,0,0,0,0,0,0,0,0,32,32,32,32,1,32,0,527,527,476,326,0.685,73,93,252,275,0
PA-602,513,333,180,0.541,323,190,0,0,74,232,281,0,323,188,82,0.436,0,18,38,119,204,0,190,190,145,98,0.676,36,113,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,487,462,418,0.905,62,79,226,261,0
PA-603,128,94,84,0.894,58,70,0,0,20,66,62,0,58,24,24,1,10,0,14,47,11,0,70,70,70,60,0.857,6,19,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,149,149,146,0.98,17,21,57,92,0
PA-605,436,351,346,0.986,249,187,0,0,75,216,220,0,249,192,192,1,0,58,27,97,152,0,187,187,159,154,0.969,48,119,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,556,556,378,0.68,111,98,270,286,0
PR-502,1285,979,949,0.969,264,996,3,22,96,402,883,0,264,183,183,1,0,0,13,66,198,0,996,996,774,744,0.961,83,336,660,0,3,3,0,0,0,0,0,3,0,22,22,22,22,1,22,0,1395,1395,1341,1327,0.99,355,167,444,951,0
PR-503,718,611,562,0.92,217,400,36,65,42,186,532,0,217,170,170,1,0,0,3,47,170,0,400,400,340,327,0.962,31,113,287,0,36,36,36,0,0,8,26,10,0,65,65,65,65,1,65,0,345,345,345,305,0.884,177,43,153,192,0
RI-500,1181,1076,1012,0.941,699,465,0,17,215,571,610,0,699,625,585,0.936,47,67,109,273,426,0,465,465,434,410,0.945,106,298,167,0,0,0,0,0,0,0,0,0,0,17,17,17,17,1,17,0,1615,1615,1611,1417,0.88,324,284,746,869,0
SC-500,519,437,385,0.881,191,158,170,0,67,208,311,0,191,155,134,0.865,0,3,17,56,135,0,158,158,140,109,0.779,20,47,111,0,170,170,142,142,1,30,105,65,0,0,0,0,0,0,0,0,274,274,274,68,0.248,43,9,23,251,0
SC-501,1941,1763,1328,0.753,788,1046,95,12,224,947,994,0,788,616,506,0.821,140,85,27,350,438,0,1046,1046,1040,735,0.707,163,523,523,0,95,95,95,75,0.789,34,74,21,0,12,12,12,12,1,12,0,277,277,277,158,0.57,97,9,18,259,0
SC-502,1158,1031,943,0.915,492,666,0,0,143,400,758,0,492,365,319,0.874,235,41,52,158,334,0,666,666,666,624,0.937,91,242,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,898,797,797,1,57,213,480,418,0
SC-503,531,460,449,0.976,246,285,0,0,55,201,323,7,246,187,187,1,0,32,20,85,161,0,285,285,273,262,0.96,35,116,162,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,509,509,484,0.951,60,97,328,181,0
SD-500,1588,1146,433,0.378,980,608,0,0,256,763,727,98,980,538,204,0.379,70,85,205,596,346,38,608,608,608,229,0.377,51,167,381,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,614,614,434,0.707,139,71,247,367,0
TN-500,293,251,251,1,167,126,0,0,52,150,143,0,167,157,157,1,205,0,14,48,119,0,126,126,94,94,1,38,102,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,424,405,342,0.844,65,72,208,216,0
TN-501,1995,1919,1350,0.703,451,1544,0,0,263,854,1133,8,451,424,378,0.892,0,119,41,153,290,8,1544,1544,1495,972,0.65,222,701,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,803,803,468,0.583,519,63,196,607,0
TN-502,999,972,751,0.773,453,546,0,0,104,180,809,10,453,438,438,1,0,41,22,54,394,5,546,546,534,313,0.586,82,126,415,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,552,448,336,0.75,251,185,283,265,4
TN-503,340,243,209,0.86,173,167,0,0,24,54,286,0,173,90,76,0.844,0,0,20,40,133,0,167,167,153,133,0.869,4,14,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170,170,135,0.794,28,21,74,96,0
TN-504,1679,1559,400,0.257,890,773,0,16,106,334,1335,10,890,823,49,0.06,321,0,43,143,737,10,773,773,720,335,0.465,63,191,582,0,0,0,0,0,0,0,0,0,0,16,16,16,16,1,16,0,1260,1260,1260,785,0.623,81,274,633,627,0
TN-506,311,254,91,0.358,228,83,0,0,37,123,180,8,228,175,25,0.143,0,3,24,80,140,8,83,83,79,66,0.835,13,43,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,139,139,1,49,66,139,0,0
TN-507,354,296,78,0.264,262,84,0,8,141,268,86,0,262,219,24,0.11,0,3,126,210,52,0,84,84,69,46,0.667,15,58,26,0,0,0,0,0,0,0,0,0,0,8,8,8,8,1,8,0,212,212,212,207,0.976,33,32,60,152,0
TN-509,486,413,194,0.47,391,95,0,0,18,144,336,6,391,318,137,0.431,18,0,18,144,241,6,95,95,95,57,0.6,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,529,493,373,0.757,254,69,232,297,0
TN-510,200,153,91,0.595,126,64,10,0,22,85,115,0,126,87,59,0.678,15,0,18,64,62,0,64,64,56,26,0.464,3,17,47,0,10,10,10,6,0.6,1,4,6,0,0,0,0,0,0,0,0,217,217,215,107,0.498,48,37,106,111,0
TN-512,322,176,141,0.801,199,114,9,0,79,210,112,0,199,62,54,0.871,0,93,59,169,30,0,114,114,105,78,0.743,19,39,75,0,9,9,9,9,1,1,2,7,0,0,0,0,0,0,0,0,52,52,52,2,0.038,2,44,50,2,0
TX-500,2087,1903,800,0.42,1301,742,0,44,368,1010,1077,0,1301,1181,232,0.196,0,12,179,458,843,0,742,742,678,524,0.773,189,552,190,0,0,0,0,0,0,0,0,0,0,44,44,44,44,1,44,0,1504,1504,1504,889,0.591,75,655,1165,339,0
TX-503,1159,925,895,0.968,664,478,1,16,229,684,439,36,664,558,544,0.975,0,164,83,280,364,20,478,478,350,334,0.954,146,404,58,16,1,1,1,1,1,0,0,1,0,16,16,16,16,1,16,0,1035,1035,1019,574,0.563,369,126,403,632,0
TX-600,3765,3177,977,0.308,2182,1558,0,25,575,1607,2158,0,2182,1863,0,0,0,50,249,625,1557,0,1558,1558,1289,952,0.739,326,982,576,0,0,0,0,0,0,0,0,0,0,25,25,25,25,1,25,0,2557,2557,2557,1944,0.76,1127,338,868,1689,0
TX-601,2228,1865,1862,0.998,1263,928,17,20,340,1146,1066,16,1263,1089,1089,1,41,71,88,411,836,16,928,928,739,736,0.996,249,724,204,0,17,17,17,17,1,3,11,6,0,20,20,20,20,1,20,0,1482,1482,1482,1432,0.966,770,199,579,903,0
