CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non-DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non-DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non-DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non-DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non-DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non-DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non-DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non-DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non-DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
LA-509,191,130,40,0.2094,139,52,0,14,84,83,24,78,16,0.1151,0,4,14,84,39,16,52,24,0.4615,0,0,44,8,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,99,99,95,0.9596,40,51,48,0,0,0,0,.,0,0,0,0
MA-500,6364,6191,5444,0.8554,5181,1156,27,1442,4082,2282,0,5096,4531,0.8745,120,88,1292,3748,1433,0,1068,896,0.7751,150,334,822,0,27,17,0.6296,0,0,27,0,176,176,176,1,25,91,85,0,85,85,85,1,0,0,85,0,91,91,91,1,25,91,0,0,5093,5093,4854,0.9531,426,1006,4087,0,1339,1339,889,0.6639,388,1005,334,0
MA-502,535,535,495,0.9252,438,97,0,120,429,106,0,438,438,1,14,0,88,368,70,0,97,57,0.5876,32,61,36,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,277,267,267,0.9639,44,82,195,0,0,0,0,.,0,0,0,0
MA-503,307,257,257,0.8371,250,57,0,62,161,146,0,200,200,0.8,0,13,62,161,89,0,57,57,1,0,0,57,0,0,0,.,0,0,0,0,71,71,53,0.7465,7,21,50,0,71,71,53,0.7465,7,21,50,0,0,0,0,.,0,0,0,0,238,238,238,1,5,10,228,0,25,25,25,1,0,0,25,0
MA-504,2143,1994,1853,0.8647,1922,214,7,572,1771,368,4,1855,1807,0.9402,0,955,537,1686,232,4,132,40,0.1869,35,85,129,0,7,6,0.8571,0,0,7,0,1954,1954,639,0.327,321,1954,0,0,1954,1954,639,0.327,321,1954,0,0,0,0,0,.,0,0,0,0,782,782,592,0.757,106,330,452,0,73,73,27,0.3699,0,0,73,0
MA-505,453,411,411,0.9073,179,274,0,56,175,278,0,152,152,0.8492,0,0,42,140,39,0,259,259,0.9453,14,35,239,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,308,308,278,0.9026,80,199,109,0,0,0,0,.,0,0,0,0
MA-506,1405,1348,1313,0.9345,896,496,13,316,1052,353,0,872,855,0.9542,0,442,237,800,96,0,463,445,0.8972,79,252,244,0,13,13,1,0,0,13,0,218,218,218,1,8,24,194,0,218,218,218,1,8,24,194,0,0,0,0,.,0,0,0,0,912,912,727,0.7971,145,354,558,0,0,0,0,.,0,0,0,0
MA-507,549,515,509,0.9271,201,348,0,57,176,365,8,167,167,0.8308,66,247,38,122,79,0,348,342,0.9828,19,54,286,8,0,0,.,0,0,0,0,14,14,14,1,0,0,14,0,14,14,14,1,0,0,14,0,0,0,0,.,0,0,0,0,492,492,201,0.4085,29,111,381,0,59,59,41,0.6949,0,0,59,0
MA-508,555,472,427,0.7694,433,122,0,124,417,138,0,409,408,0.9423,60,0,99,341,92,0,63,19,0.1557,25,76,46,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,36,36,36,1,0,0,36,0,70,52,52,0.7429,22,70,0,0
MA-509,450,421,357,0.7933,281,169,0,55,138,312,0,267,252,0.8968,36,15,29,72,209,0,154,105,0.6213,26,66,103,0,0,0,.,0,0,0,0,15,15,15,1,4,9,6,0,15,15,15,1,4,9,6,0,0,0,0,.,0,0,0,0,561,539,242,0.4314,33,104,457,0,0,0,0,.,0,0,0,0
MA-510,1525,1468,1396,0.9154,1399,120,6,518,1350,175,0,1382,1310,0.9364,16,23,483,1269,130,0,80,80,0.6667,35,81,39,0,6,6,1,0,0,6,0,11,11,11,1,0,0,11,0,0,0,0,.,0,0,0,0,11,11,11,1,0,0,11,0,482,475,293,0.6079,66,186,296,0,0,0,0,.,0,0,0,0
MA-511,978,926,915,0.9356,919,59,0,241,702,276,0,900,900,0.9793,27,783,225,658,261,0,26,15,0.2542,16,44,15,0,0,0,.,0,0,0,0,56,56,0,0,3,6,50,0,56,56,0,0,3,6,50,0,0,0,0,.,0,0,0,0,720,720,485,0.6736,133,320,400,0,0,0,0,.,0,0,0,0
MA-515,410,397,358,0.8732,316,94,0,94,317,93,0,303,303,0.9589,30,2,79,278,38,0,94,55,0.5851,15,39,55,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,165,165,144,0.8727,28,83,82,0,0,0,0,.,0,0,0,0
MA-516,1418,1265,1118,0.7884,1157,261,0,411,1171,247,0,1127,1045,0.9032,14,635,332,970,187,0,138,73,0.2797,79,201,60,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,687,667,433,0.6303,84,247,440,0,282,282,236,0.8369,47,134,148,0
MA-517,179,164,164,0.9162,107,72,0,28,77,102,0,92,92,0.8598,0,0,21,55,52,0,72,72,1,7,22,50,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,95,95,95,1,8,26,69,0,40,40,39,0.975,8,18,22,0
MA-518,193,92,61,0.3161,112,81,0,79,131,62,0,88,57,0.5089,0,376,54,54,58,0,4,4,0.0494,25,77,4,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,150,150,49,0.3267,0,0,150,0,16,7,0,0,11,16,0,0
MA-519,243,215,185,0.7613,170,73,0,51,194,49,0,158,158,0.9294,0,0,31,140,30,0,57,27,0.3699,20,54,19,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,90,90,84,0.9333,8,28,62,0,0,0,0,.,0,0,0,0
MD-500,131,111,89,0.6794,80,51,0,20,97,34,0,60,38,0.475,22,20,5,48,32,0,51,51,1,15,49,2,0,0,0,.,0,0,0,0,14,14,14,1,5,13,1,0,14,14,14,1,5,13,1,0,0,0,0,.,0,0,0,0,82,82,82,1,14,44,38,0,30,30,30,1,6,17,13,0
MD-501,2505,2415,1701,0.679,892,1573,40,216,793,1699,13,847,597,0.6693,75,347,26,243,636,13,1528,1064,0.6764,190,550,1023,0,40,40,1,0,0,40,0,241,210,195,0.8091,89,171,70,0,241,210,195,0.8091,89,171,70,0,0,0,0,.,0,0,0,0,3347,3347,2056,0.6143,840,1714,1633,0,43,43,43,1,0,0,43,0
MD-502,149,121,109,0.7315,80,69,0,22,89,60,0,52,52,0.65,70,0,13,46,34,0,69,57,0.8261,9,43,26,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,130,130,130,1,36,99,31,0,0,0,0,.,0,0,0,0
MD-503,237,216,216,0.9114,147,90,0,60,165,72,0,126,126,0.8571,93,32,36,91,56,0,90,90,1,24,74,16,0,0,0,.,0,0,0,0,13,13,13,1,2,5,8,0,13,13,13,1,2,5,8,0,0,0,0,.,0,0,0,0,208,208,208,1,37,101,107,0,0,0,0,.,0,0,0,0
MD-504,107,98,98,0.9159,71,36,0,23,77,30,0,64,64,0.9014,26,0,14,47,24,0,34,34,0.9444,9,30,6,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,90,90,76,0.8444,15,44,46,0,0,0,0,.,0,0,0,0
MD-505,430,380,380,0.8837,377,53,0,35,270,160,0,348,348,0.9231,96,0,19,217,160,0,32,32,0.6038,16,53,0,0,0,0,.,0,0,0,0,181,181,181,1,82,181,0,0,181,181,181,1,82,181,0,0,0,0,0,.,0,0,0,0,445,445,220,0.4944,79,209,236,0,0,0,0,.,0,0,0,0
MD-506,115,104,104,0.9043,65,25,25,53,68,47,0,54,54,0.8308,25,10,43,43,22,0,25,25,1,10,25,0,0,25,25,1,0,0,25,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,37,37,37,1,3,13,24,0,0,0,0,.,0,0,0,0
MD-507,131,109,62,0.4733,42,89,0,11,46,85,0,20,0,0,35,0,1,22,20,0,89,62,0.6966,10,24,65,0,0,0,.,0,0,0,0,10,0,0,0,2,7,3,0,10,0,0,0,2,7,3,0,0,0,0,.,0,0,0,0,113,113,28,0.2478,5,15,98,0,0,0,0,.,0,0,0,0
MD-508,329,311,311,0.9453,236,93,0,44,235,94,0,218,218,0.9237,85,37,25,174,62,0,93,93,1,19,61,32,0,0,0,.,0,0,0,0,6,6,6,1,4,6,0,0,6,6,6,1,4,6,0,0,0,0,0,.,0,0,0,0,252,252,252,1,60,174,78,0,2,2,2,1,0,0,2,0
MD-509,274,237,237,0.865,137,137,0,43,141,133,0,108,108,0.7883,0,6,14,50,87,0,129,129,0.9416,29,91,46,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,49,49,49,1,5,9,40,0,0,0,0,.,0,0,0,0
MD-510,30,10,10,0.3333,21,9,0,9,11,19,0,1,1,0.0476,0,0,7,9,12,0,9,9,1,2,2,7,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,24,24,24,1,4,4,20,0,0,0,0,.,0,0,0,0
MD-511,68,68,63,0.9265,31,37,0,12,31,37,0,31,31,1,101,0,1,4,27,0,37,32,0.8649,11,27,10,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,105,105,105,1,26,69,36,0,0,0,0,.,0,0,0,0
MD-512,250,202,103,0.412,163,87,0,15,82,168,0,123,66,0.4049,56,0,10,66,97,0,79,37,0.4253,5,16,71,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,126,126,115,0.9127,26,37,89,0,0,0,0,.,0,0,0,0
MD-513,257,240,240,0.9339,207,50,0,33,89,168,0,190,190,0.9179,51,11,24,68,139,0,50,50,1,9,21,29,0,0,0,.,0,0,0,0,27,27,27,1,6,19,8,0,27,27,27,1,6,19,8,0,0,0,0,.,0,0,0,0,216,216,186,0.8611,38,112,104,0,0,0,0,.,0,0,0,0
MD-600,444,444,327,0.7365,187,257,0,102,335,104,5,187,172,0.9198,50,0,16,118,64,5,257,155,0.6031,86,217,40,0,0,0,.,0,0,0,0,14,14,0,0,3,14,0,0,0,0,0,.,0,0,0,0,14,14,0,0,3,14,0,0,281,281,281,1,71,192,89,0,185,185,185,1,59,142,43,0
MD-601,619,541,541,0.874,278,297,44,86,295,324,0,224,224,0.8058,87,400,41,130,148,0,273,273,0.9192,45,165,132,0,44,44,1,0,0,44,0,95,95,95,1,28,92,3,0,75,75,75,1,21,72,3,0,20,20,20,1,7,20,0,0,1900,1900,1776,0.9347,375,1193,707,0,24,24,24,1,3,12,12,0
ME-500,1955,1608,1439,0.7361,828,1127,0,398,1229,726,0,671,556,0.6715,0,43,142,433,395,0,937,883,0.7835,256,796,331,0,0,0,.,0,0,0,0,96,96,96,1,40,59,37,0,96,96,96,1,40,59,37,0,0,0,0,.,0,0,0,0,2180,2145,2113,0.9693,522,1222,958,0,0,0,0,.,0,0,0,0
ME-502,621,605,597,0.9614,376,230,15,67,218,399,4,360,360,0.9574,0,92,35,126,246,4,230,222,0.9652,32,92,138,0,15,15,1,0,0,15,0,77,77,77,1,22,61,16,0,77,77,77,1,22,61,16,0,0,0,0,.,0,0,0,0,584,584,544,0.9315,51,165,419,0,0,0,0,.,0,0,0,0
MI-500,2039,1304,1077,0.5282,1192,847,0,416,1221,775,43,643,519,0.4354,8,49,201,592,575,25,661,558,0.6588,215,629,200,18,0,0,.,0,0,0,0,221,221,221,1,42,137,84,0,221,221,221,1,42,137,84,0,0,0,0,.,0,0,0,0,756,743,743,0.9828,124,414,342,0,107,107,107,1,25,91,16,0
MI-501,2421,2294,2163,0.8934,1183,1217,21,171,593,1813,15,1116,1042,0.8808,354,4,53,303,872,8,1157,1100,0.9039,118,290,920,7,21,21,1,0,0,21,0,631,631,631,1,139,366,265,0,631,631,631,1,139,366,265,0,0,0,0,.,0,0,0,0,2294,2294,2159,0.9412,238,791,1503,0,2692,2692,2692,1,466,1691,1001,0
MI-502,344,264,264,0.7674,125,203,16,57,226,106,12,80,80,0.64,30,0,25,110,7,8,168,168,0.8276,32,116,83,4,16,16,1,0,0,16,0,20,20,20,1,0,0,20,0,20,20,20,1,0,0,20,0,0,0,0,.,0,0,0,0,483,483,483,1,103,303,180,0,952,952,952,1,210,765,187,0
MI-503,354,310,242,0.6836,178,151,25,30,97,250,7,134,134,0.7528,80,5,18,61,111,6,151,83,0.5497,12,36,114,1,25,25,1,0,0,25,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,148,148,148,1,17,34,114,0,0,0,0,.,0,0,0,0
MI-504,301,256,247,0.8206,154,147,0,60,183,110,8,109,100,0.6494,105,0,14,57,91,6,147,147,1,46,126,19,2,0,0,.,0,0,0,0,34,34,34,1,8,26,8,0,34,34,34,1,8,26,8,0,0,0,0,.,0,0,0,0,624,624,621,0.9952,112,364,260,0,425,425,4,0.0094,100,221,204,0
MI-505,364,364,364,1,231,133,0,41,172,181,11,231,231,1,0,16,25,90,131,10,133,133,1,16,82,50,1,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,291,291,291,1,50,155,136,0,0,0,0,.,0,0,0,0
MI-506,879,680,680,0.7736,357,522,0,133,431,430,18,303,303,0.8487,40,32,30,99,243,15,377,377,0.7222,103,332,187,3,0,0,.,0,0,0,0,206,206,206,1,44,161,45,0,206,206,206,1,44,161,45,0,0,0,0,.,0,0,0,0,860,860,839,0.9756,117,304,556,0,1330,1330,24,0.018,291,1139,191,0
MI-507,619,519,519,0.8384,387,232,0,86,356,250,13,325,325,0.8398,0,131,26,172,202,13,194,194,0.8362,60,184,48,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,546,533,533,0.9762,113,352,194,0,0,0,0,.,0,0,0,0
MI-508,413,379,303,0.7337,340,73,0,27,112,294,7,310,234,0.6882,0,37,23,99,237,4,69,69,0.9452,4,13,57,3,0,0,.,0,0,0,0,214,214,214,1,41,175,39,0,214,214,214,1,41,175,39,0,0,0,0,.,0,0,0,0,460,460,302,0.6565,44,154,306,0,701,701,0,0,141,541,160,0
MI-509,264,218,208,0.7879,195,69,0,36,112,147,5,149,149,0.7641,125,4,34,102,88,5,69,59,0.8551,2,10,59,0,0,0,.,0,0,0,0,41,41,36,0.878,10,36,5,0,41,41,36,0.878,10,36,5,0,0,0,0,.,0,0,0,0,410,410,273,0.6659,39,123,287,0,715,715,35,0.049,116,430,285,0
MI-510,396,282,282,0.7121,216,174,6,67,177,204,15,190,190,0.8796,0,5,38,83,123,10,86,86,0.4943,29,94,75,5,6,6,1,0,0,6,0,74,35,35,0.473,21,59,15,0,74,35,35,0.473,21,59,15,0,0,0,0,.,0,0,0,0,317,304,304,0.959,55,159,158,0,375,375,0,0,81,311,64,0
MI-511,117,51,33,0.2821,69,48,0,20,79,36,2,31,13,0.1884,15,10,7,35,34,0,20,20,0.4167,13,44,2,2,0,0,.,0,0,0,0,13,13,13,1,1,2,11,0,13,13,13,1,1,2,11,0,0,0,0,.,0,0,0,0,13,13,8,0.6154,1,2,11,0,109,109,0,0,28,106,3,0
MI-512,270,215,215,0.7963,217,53,0,32,76,183,11,181,181,0.8341,0,0,25,58,156,3,34,34,0.6415,7,18,27,8,0,0,.,0,0,0,0,63,63,63,1,12,33,30,0,63,63,63,1,12,33,30,0,0,0,0,.,0,0,0,0,67,67,67,1,10,27,40,0,0,0,0,.,0,0,0,0
MI-513,85,58,34,0.4,53,32,0,12,46,39,0,37,15,0.283,22,0,4,23,30,0,21,19,0.5938,8,23,9,0,0,0,.,0,0,0,0,23,23,23,1,6,21,2,0,23,23,23,1,6,21,2,0,0,0,0,.,0,0,0,0,38,38,38,1,7,25,13,0,87,87,0,0,11,38,49,0
MI-514,243,187,147,0.6049,147,83,13,30,99,142,2,91,77,0.5238,0,19,24,81,66,0,83,70,0.8434,6,18,63,2,13,0,0,0,0,13,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,306,285,26,0.085,9,27,279,0,0,0,0,.,0,0,0,0
MI-515,204,186,186,0.9118,85,119,0,38,87,117,0,67,67,0.7882,40,0,29,52,33,0,119,119,1,9,35,84,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,16,16,4,0.25,1,4,12,0,0,0,0,.,0,0,0,0
MI-516,185,162,162,0.8757,141,44,0,12,93,85,7,118,118,0.8369,0,21,6,73,61,7,44,44,1,6,20,24,0,0,0,.,0,0,0,0,106,106,106,1,22,68,38,0,106,106,106,1,22,68,38,0,0,0,0,.,0,0,0,0,193,193,120,0.6218,41,118,75,0,545,545,34,0.0624,109,392,153,0
MI-517,201,158,158,0.7861,108,93,0,27,148,53,0,78,78,0.7222,0,10,2,68,40,0,80,80,0.8602,25,80,13,0,0,0,.,0,0,0,0,30,30,28,0.9333,3,9,21,0,30,30,28,0.9333,3,9,21,0,0,0,0,.,0,0,0,0,64,64,64,1,12,43,21,0,0,0,0,.,0,0,0,0
MI-518,107,61,43,0.4019,52,55,0,44,83,14,10,32,18,0.3462,0,6,29,42,0,10,29,25,0.4545,15,41,14,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,24,24,23,0.9583,14,14,10,0,184,184,0,0,38,145,39,0
MI-519,395,315,315,0.7975,162,233,0,69,244,151,0,142,142,0.8765,0,10,19,66,96,0,173,173,0.7425,50,178,55,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,103,103,100,0.9709,15,39,64,0,173,173,173,1,39,134,39,0
MI-523,136,88,88,0.6471,42,94,0,29,133,3,0,30,30,0.7143,0,6,10,40,2,0,58,58,0.617,19,93,1,0,0,0,.,0,0,0,0,53,53,53,1,23,46,7,0,53,53,53,1,23,46,7,0,0,0,0,.,0,0,0,0,13,13,13,1,3,7,6,0,0,0,0,.,0,0,0,0
MN-500,3025,2818,2474,0.8179,1551,1474,0,443,1699,1285,41,1383,1333,0.8594,100,262,165,629,904,18,1435,1141,0.7741,278,1070,381,23,0,0,.,0,0,0,0,2177,2177,2177,1,714,1970,202,5,2177,2177,2177,1,714,1970,202,5,0,0,0,.,0,0,0,0,6148,6080,3418,0.556,779,2620,3478,50,0,0,0,.,0,0,0,0
MN-501,1365,1119,616,0.4513,781,584,0,213,685,664,16,555,179,0.2292,0,11,84,306,468,7,564,437,0.7483,129,379,196,9,0,0,.,0,0,0,0,343,343,343,1,81,233,110,0,343,343,343,1,81,233,110,0,0,0,0,.,0,0,0,0,2897,2897,2376,0.8202,435,1474,1423,0,0,0,0,.,0,0,0,0
MN-502,467,332,256,0.5482,246,221,0,103,385,82,0,167,96,0.3902,23,5,42,179,67,0,165,160,0.724,61,206,15,0,0,0,.,0,0,0,0,34,34,34,1,10,34,0,0,34,34,34,1,10,34,0,0,0,0,0,.,0,0,0,0,439,439,433,0.9863,64,204,235,0,83,83,60,0.7229,17,55,28,0
MN-503,406,330,300,0.7389,264,142,0,115,265,141,0,188,174,0.6591,0,32,66,158,106,0,142,126,0.8873,49,107,35,0,0,0,.,0,0,0,0,190,190,154,0.8105,69,190,0,0,190,190,154,0.8105,69,190,0,0,0,0,0,.,0,0,0,0,718,713,607,0.8454,149,397,321,0,0,0,0,.,0,0,0,0
MN-504,68,48,48,0.7059,18,50,0,13,47,21,0,16,16,0.8889,0,1,4,8,10,0,32,32,0.64,9,39,11,0,0,0,.,0,0,0,0,61,61,61,1,15,49,12,0,61,61,61,1,15,49,12,0,0,0,0,.,0,0,0,0,159,144,129,0.8113,34,89,70,0,0,0,0,.,0,0,0,0
MN-505,543,468,338,0.6225,329,214,0,104,289,245,9,262,215,0.6535,30,0,58,179,142,8,206,123,0.5748,46,110,103,1,0,0,.,0,0,0,0,74,74,31,0.4189,12,41,33,0,74,74,31,0.4189,12,41,33,0,0,0,0,.,0,0,0,0,376,364,281,0.7473,132,236,138,2,114,106,80,0.7018,34,100,14,0
MN-506,223,192,192,0.861,110,113,0,49,141,72,10,87,87,0.7909,20,25,20,62,38,10,105,105,0.9292,29,79,34,0,0,0,.,0,0,0,0,9,9,9,1,3,5,4,0,9,9,9,1,3,5,4,0,0,0,0,.,0,0,0,0,406,406,372,0.9163,97,319,87,0,0,0,0,.,0,0,0,0
MN-508,197,176,176,0.8934,99,98,0,37,104,93,0,78,78,0.7879,0,47,14,44,55,0,98,98,1,23,60,38,0,0,0,.,0,0,0,0,196,196,196,1,56,189,7,0,196,196,196,1,56,189,7,0,0,0,0,.,0,0,0,0,361,356,356,0.9861,77,275,86,0,31,31,31,1,8,20,11,0
MN-509,379,330,321,0.847,184,195,0,72,210,126,43,135,126,0.6848,0,0,31,75,81,28,195,195,1,41,135,45,15,0,0,.,0,0,0,0,87,87,87,1,21,74,13,0,87,87,87,1,21,74,13,0,0,0,0,.,0,0,0,0,683,683,578,0.8463,140,362,317,4,0,0,0,.,0,0,0,0
MN-511,106,90,90,0.8491,57,49,0,28,90,16,0,41,41,0.7193,0,0,16,51,6,0,49,49,1,12,39,10,0,0,0,.,0,0,0,0,58,58,58,1,11,36,22,0,58,58,58,1,11,36,22,0,0,0,0,.,0,0,0,0,185,185,178,0.9622,42,145,40,0,0,0,0,.,0,0,0,0
MO-500,403,364,233,0.5782,211,192,0,80,244,132,27,172,137,0.6493,0,0,40,143,61,7,192,96,0.5,40,101,71,20,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,333,333,333,1,70,208,125,0,42,12,0,0,16,32,10,0
MO-501,1364,1200,154,0.1129,589,757,18,345,752,612,0,515,154,0.2615,25,0,103,277,312,0,667,0,0,242,475,282,0,18,0,0,0,0,18,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,1349,1349,40,0.0297,242,708,641,0,0,0,0,.,0,0,0,0
MO-503,252,204,98,0.3889,101,151,0,41,127,111,14,53,53,0.5248,0,297,19,64,25,12,151,45,0.298,22,63,86,2,0,0,.,0,0,0,0,124,124,124,1,30,107,17,0,124,124,124,1,30,107,17,0,0,0,0,.,0,0,0,0,69,69,69,1,13,38,31,0,106,106,106,1,0,0,106,0
MO-600,536,343,343,0.6399,390,146,0,91,279,234,23,222,222,0.5692,0,25,59,190,196,4,121,121,0.8288,32,89,38,19,0,0,.,0,0,0,0,91,91,91,1,6,19,72,0,91,91,91,1,6,19,72,0,0,0,0,.,0,0,0,0,106,106,106,1,17,55,51,0,0,0,0,.,0,0,0,0
MO-602,365,305,230,0.6301,190,175,0,51,143,198,24,190,115,0.6053,0,0,9,24,142,24,115,115,0.6571,42,119,56,0,0,0,.,0,0,0,0,39,39,37,0.9487,4,8,31,0,39,39,37,0.9487,4,8,31,0,0,0,0,.,0,0,0,0,128,128,92,0.7188,15,47,81,0,0,0,0,.,0,0,0,0
MO-603,177,97,97,0.548,95,64,18,22,74,103,0,50,50,0.5263,25,10,12,45,50,0,29,29,0.4531,10,29,35,0,18,18,1,0,0,18,0,69,69,69,1,12,42,27,0,69,69,69,1,12,42,27,0,0,0,0,.,0,0,0,0,187,170,134,0.7166,33,110,77,0,0,0,0,.,0,0,0,0
MO-604,1614,1290,1179,0.7305,1050,550,14,267,661,936,17,781,764,0.7276,35,69,154,431,602,17,495,415,0.7545,113,230,320,0,14,0,0,0,0,14,0,222,153,153,0.6892,60,188,34,0,222,153,153,0.6892,60,188,34,0,0,0,0,.,0,0,0,0,1446,1446,1171,0.8098,455,700,746,0,0,0,0,.,0,0,0,0
