CoC_Number,CoC_Name,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Overall_Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Overall_Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Overall_Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Overall_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",1104,72,144,216,888,586,34,133,167,419,518,38,11,49,469,109,12,4,16,93,21,3,18
FL-600,Miami-Dade County CoC,4574,1487,1740,3227,1347,3352,1035,972,2007,1345,1222,452,768,1220,2,328,130,197,327,1,461,260,201
FL-601,Ft Lauderdale/Broward County CoC,3154,834,1619,2453,701,2451,594,1220,1814,637,703,240,399,639,64,178,60,95,155,23,222,59,163
FL-602,Punta Gorda/Charlotte County CoC,730,64,386,450,280,635,34,328,362,273,95,30,58,88,7,46,15,29,44,2,273,0,273
FL-603,"Ft Myers, Cape Coral/Lee County CoC",899,92,294,386,513,847,63,285,348,499,52,29,9,38,14,20,11,4,15,5,184,21,163
FL-604,Monroe County CoC,1121,265,212,477,644,1017,240,170,410,607,104,25,42,67,37,37,13,14,27,10,289,120,169
FL-605,West Palm Beach/Palm Beach County CoC,1766,345,382,727,1039,1302,157,157,314,988,464,188,225,413,51,150,59,74,133,17,329,34,295
FL-606,Naples/Collier County CoC,289,122,38,160,129,198,93,17,110,88,91,29,21,50,41,36,10,14,24,12,20,9,11
GA-500,Atlanta CoC,6840,2386,2339,4725,2115,5622,2027,1524,3551,2071,1218,359,815,1174,44,379,115,250,365,14,1232,577,655
GA-501,Georgia Balance of State CoC,9340,1157,1110,2267,7073,5896,528,431,959,4937,3444,629,679,1308,2136,1078,197,234,431,647,725,178,547
GA-503,Athens-Clarke County CoC,462,133,170,303,159,308,72,89,161,147,154,61,81,142,12,50,19,27,46,4,108,45,63
GA-504,Augusta-Richmond County CoC,528,230,266,496,32,393,181,184,365,28,135,49,82,131,4,48,16,31,47,1,149,149,0
GA-505,Columbus-Muscogee CoC,618,195,49,244,374,559,136,49,185,374,59,59,0,59,0,23,23,0,23,0,99,43,56
GA-506,Marietta/Cobb County CoC,537,125,204,329,208,346,74,86,160,186,191,51,118,169,22,69,20,41,61,8,154,45,109
GA-507,Savannah/Chatham County CoC,770,194,307,501,269,604,109,226,335,269,166,85,81,166,0,75,42,33,75,0,204,0,204
GU-500,Guam CoC,725,33,70,103,622,254,14,39,53,201,471,19,31,50,421,120,5,9,14,106,50,39,11
