CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Dedicated_Veteran_Beds_ES_TH_SH,Dedicated_Youth_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Dedicated_Veteran_Beds_ES,Dedicated_Youth_Beds_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Dedicated_Veteran_Beds_TH,Dedicated_Youth_Beds_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Dedicated_Veteran_Beds_SH,Dedicated_Youth_Beds_SH,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Dedicated_Veteran_Beds_RRH,Dedicated_Youth_Beds_RRH,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Dedicated_Veteran_Beds_PSH,Dedicated_Youth_Beds_PSH,Dedicated_Chronically_Homeless_Beds_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH,Dedicated_Veteran_Beds_OPH,Dedicated_Youth_Beds_OPH
CT-505,2339,2075,2010,0.8593,1703,636,0,330,1057,1274,8,138,30,1496,1482,0.8702,284,118,227,755,940,8,22,13,579,528,0.8302,103,302,334,0,116,17,0,0,.,0,0,0,0,0,0,634,634,590,0.9306,134,395,239,0,146,8,5201,5144,3849,0.74,564,1594,3607,0,989,40,2474,0,0,0,.,0,0,0,0,0,0
DC-500,7402,7064,6727,0.9088,5888,1514,0,1265,4171,3221,10,209,526,5728,5578,0.9474,424,0,1035,3545,2333,10,0,78,1336,1149,0.7589,230,626,888,0,209,448,0,0,.,0,0,0,0,0,0,4480,4480,4478,0.9996,1398,4208,272,0,212,67,6336,6300,5103,0.8054,1043,3117,3219,0,1251,130,6236,1751,1751,0,0,472,1561,190,0,0,0
DE-500,1143,1067,649,0.5678,575,568,0,177,468,671,4,80,12,499,374,0.6504,31,77,61,192,379,4,17,4,568,275,0.4842,116,276,292,0,63,8,0,0,.,0,0,0,0,0,0,216,216,216,1,64,211,5,0,20,0,671,671,504,0.7511,40,97,574,0,167,0,471,101,101,89,0.8812,3,9,92,0,24,0
FL-500,988,906,896,0.9069,595,393,0,68,243,711,34,54,40,522,522,0.8773,0,103,24,107,454,34,10,34,384,374,0.9517,44,136,257,0,44,6,0,0,.,0,0,0,0,0,0,67,67,67,1,10,36,31,0,35,0,456,456,456,1,54,203,253,0,249,0,339,0,0,0,.,0,0,0,0,0,0
FL-501,1108,976,933,0.8421,755,338,15,176,543,565,0,93,0,623,623,0.8252,0,4,125,402,353,0,30,0,338,295,0.8728,51,141,197,0,48,0,15,15,1,0,0,15,0,15,0,535,535,495,0.9252,133,433,102,0,82,0,1575,1575,1515,0.9619,152,484,1091,0,1030,0,403,50,50,44,0.88,8,25,25,0,0,0
FL-502,2047,1911,1877,0.917,1543,459,45,120,525,1477,45,189,45,1407,1393,0.9028,0,16,74,423,1096,24,34,24,459,439,0.9564,46,102,336,21,135,21,45,45,1,0,0,45,0,20,0,143,90,86,0.6014,111,111,32,0,15,0,1524,1492,1492,0.979,59,214,1310,0,871,0,891,0,0,0,.,0,0,0,0,0,0
FL-503,524,524,404,0.771,208,316,0,53,266,249,9,0,9,208,172,0.8269,0,4,20,120,79,9,0,9,316,232,0.7342,33,146,170,0,0,0,0,0,.,0,0,0,0,0,0,7,7,7,1,0,0,7,0,0,0,253,253,168,0.664,46,117,136,0,85,0,54,0,0,0,.,0,0,0,0,0,0
FL-504,449,371,366,0.8151,158,291,0,67,298,135,16,23,97,80,80,0.5063,0,0,22,79,68,11,0,47,291,286,0.9828,45,219,67,5,23,50,0,0,.,0,0,0,0,0,0,112,112,94,0.8393,20,57,55,0,24,16,433,433,170,0.3926,17,56,377,0,288,32,97,0,0,0,.,0,0,0,0,0,0
FL-505,134,110,110,0.8209,60,74,0,21,100,34,0,4,0,36,36,0.6,38,0,10,26,34,0,4,0,74,74,1,11,74,0,0,0,0,0,0,.,0,0,0,0,0,0,33,33,33,1,8,18,15,0,4,0,216,216,37,0.1713,179,179,37,0,179,37,37,0,0,0,.,0,0,0,0,0,0
FL-506,759,687,526,0.693,464,295,0,42,221,514,24,52,24,423,423,0.9116,0,203,14,172,274,18,0,18,264,103,0.3492,28,49,240,6,52,6,0,0,.,0,0,0,0,0,0,42,42,0,0,5,13,29,0,34,0,451,451,425,0.9424,27,73,378,0,281,0,170,190,190,165,0.8684,49,144,46,0,0,0
FL-507,2229,2045,1671,0.7497,1049,1180,0,257,990,1239,0,192,60,897,814,0.776,0,0,85,370,679,0,74,18,1148,857,0.7263,172,620,560,0,118,42,0,0,.,0,0,0,0,0,0,285,217,215,0.7544,70,212,68,5,33,5,1325,1325,625,0.4717,22,65,1260,0,711,14,1289,451,451,49,0.1086,7,14,437,0,24,0
FL-508,381,272,272,0.7139,307,74,0,8,182,199,0,66,32,198,198,0.645,75,22,6,164,143,0,10,32,74,74,1,2,18,56,0,56,0,0,0,.,0,0,0,0,0,0,158,158,158,1,94,158,0,0,158,0,715,715,515,0.7203,682,682,33,0,682,0,0,0,0,0,.,0,0,0,0,0,0
FL-509,220,160,148,0.6727,102,118,0,47,151,57,12,3,24,42,42,0.4118,0,0,21,77,13,12,0,12,118,106,0.8983,26,74,44,0,3,12,0,0,.,0,0,0,0,0,0,108,108,108,1,22,85,23,0,15,0,363,363,255,0.7025,29,89,274,0,118,0,277,96,96,96,1,24,96,0,0,0,0
FL-510,1568,1393,655,0.4177,996,572,0,132,473,1061,34,66,66,821,521,0.5231,0,0,115,415,547,34,14,34,572,134,0.2343,17,58,514,0,52,32,0,0,.,0,0,0,0,0,0,644,644,644,1,93,420,224,0,404,0,1143,1143,542,0.4742,162,254,889,0,596,0,1037,409,409,0,0,0,0,409,0,0,0
FL-511,774,705,578,0.7468,317,457,0,47,250,524,0,30,8,248,186,0.5868,0,52,25,130,187,0,0,0,457,392,0.8578,22,120,337,0,30,8,0,0,.,0,0,0,0,0,0,21,21,21,1,1,2,19,0,13,0,364,364,50,0.1374,0,0,364,0,182,0,76,0,0,0,.,0,0,0,0,0,0
FL-512,190,120,120,0.6316,94,96,0,100,144,46,0,0,0,40,40,0.4255,0,2,23,48,46,0,0,0,80,80,0.8333,77,96,0,0,0,0,0,0,.,0,0,0,0,0,0,16,16,0,0,1,7,9,0,16,0,0,0,0,.,0,0,0,0,0,0,0,34,34,10,0.2941,6,27,7,0,0,0
FL-513,735,699,549,0.7469,103,632,0,148,539,166,30,155,253,103,41,0.3981,50,19,2,17,66,20,0,32,596,508,0.8038,146,522,100,10,155,221,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,228,228,228,1,41,180,48,0,4,33,88,0,0,0,.,0,0,0,0,0,0
FL-514,356,298,298,0.8371,192,164,0,37,138,156,62,60,84,134,134,0.6979,30,10,23,82,90,20,0,28,164,164,1,14,56,66,42,60,56,0,0,.,0,0,0,0,0,0,21,21,21,1,2,10,11,0,21,0,151,151,151,1,67,79,72,0,131,10,6,20,20,20,1,10,14,6,0,0,0
FL-515,151,128,118,0.7815,72,79,0,35,72,69,10,0,22,49,39,0.5417,0,23,11,34,28,10,0,10,79,79,1,24,38,41,0,0,12,0,0,.,0,0,0,0,0,0,5,5,2,0.4,5,5,0,0,3,0,50,50,0,0,50,50,0,0,50,0,50,0,0,0,.,0,0,0,0,0,0
FL-517,95,62,62,0.6526,48,47,0,11,80,15,0,0,0,15,15,0.3125,0,0,7,44,4,0,0,0,47,47,1,4,36,11,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,149,149,149,1,11,40,109,0,92,0,46,0,0,0,.,0,0,0,0,0,0
FL-518,119,49,49,0.4118,82,37,0,16,57,50,12,27,12,12,12,0.1463,0,5,16,57,13,12,0,12,37,37,1,0,0,37,0,27,0,0,0,.,0,0,0,0,0,0,72,72,72,1,9,33,39,0,48,29,95,95,11,0.1158,5,17,78,0,89,9,11,0,0,0,.,0,0,0,0,0,0
FL-519,220,164,164,0.7455,102,118,0,16,100,118,2,39,2,46,46,0.451,0,5,4,60,40,2,15,2,118,118,1,12,40,78,0,24,0,0,0,.,0,0,0,0,0,0,94,94,94,1,10,28,66,0,73,0,191,191,191,1,53,90,101,0,88,0,0,26,26,26,1,1,9,17,0,6,0
FL-520,398,288,280,0.7035,234,164,0,64,205,184,9,29,17,130,130,0.5556,0,9,35,129,96,9,21,9,158,150,0.9146,29,76,88,0,8,8,0,0,.,0,0,0,0,0,0,17,17,17,1,4,13,4,0,0,0,100,100,60,0.6,13,49,51,0,40,0,34,25,25,25,1,3,16,9,0,0,0
FL-600,3009,2490,2425,0.8059,1969,1012,28,327,1380,1619,10,115,29,1820,1800,0.9142,0,63,233,964,995,10,35,17,642,597,0.5899,94,416,596,0,80,12,28,28,1,0,0,28,0,0,0,903,903,903,1,179,678,225,0,109,21,4620,4620,4132,0.8944,680,2372,2248,0,769,0,2567,146,146,40,0.274,0,0,146,0,0,0
FL-601,1669,1563,1163,0.6968,848,786,35,144,543,1100,26,40,119,742,684,0.8066,0,81,59,272,551,25,0,53,786,444,0.5649,85,271,514,1,40,66,35,35,1,0,0,35,0,0,0,580,580,546,0.9414,117,389,191,0,161,0,1766,1766,872,0.4938,174,459,1307,0,487,0,734,64,64,39,0.6094,9,24,40,0,39,0
FL-602,90,76,76,0.8444,66,24,0,16,19,71,0,44,0,52,52,0.7879,0,0,16,19,47,0,20,0,24,24,1,0,0,24,0,24,0,0,0,.,0,0,0,0,0,0,251,251,243,0.9681,98,126,125,0,140,55,65,65,65,1,1,2,63,0,15,0,25,0,0,0,.,0,0,0,0,0,0
FL-603,286,196,171,0.5979,231,55,0,25,124,152,10,6,10,141,116,0.5022,0,0,24,120,101,10,0,10,55,55,1,1,4,51,0,6,0,0,0,.,0,0,0,0,0,0,311,311,307,0.9871,80,299,12,0,0,14,387,387,109,0.2817,278,278,109,0,278,0,0,0,0,0,.,0,0,0,0,0,0
FL-604,401,387,348,0.8678,251,150,0,16,69,299,33,17,33,237,204,0.8127,0,0,7,36,182,33,0,33,150,144,0.96,9,33,117,0,17,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,202,202,197,0.9752,13,42,160,0,2,0,54,11,11,11,1,4,10,1,0,0,0
FL-605,642,474,474,0.7383,403,239,0,80,329,303,10,62,50,267,267,0.6625,0,0,53,220,173,10,23,10,207,207,0.8661,27,109,130,0,39,40,0,0,.,0,0,0,0,0,0,520,450,450,0.8654,117,411,109,0,74,0,965,965,595,0.6166,122,472,493,0,370,0,417,17,17,17,1,0,0,17,0,0,0
FL-606,440,353,12,0.0273,244,196,0,51,138,290,12,0,12,184,12,0.0492,0,0,21,65,167,12,0,12,169,0,0,30,73,123,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,30,30,0,0,3,6,24,0,0,0,6,0,0,0,.,0,0,0,0,0,0
GA-500,3419,3347,1675,0.4899,1768,1651,0,220,739,2680,0,175,101,1696,753,0.4259,153,201,140,497,1271,0,25,46,1651,922,0.5584,80,242,1409,0,150,55,0,0,.,0,0,0,0,0,0,177,148,133,0.7514,44,122,55,0,44,0,1941,1941,1735,0.8939,166,483,1450,8,373,42,1581,0,0,0,.,0,0,0,0,0,0
GA-501,2399,1317,922,0.3843,1544,855,0,451,1476,921,2,24,15,791,552,0.3575,0,23,260,837,705,2,0,6,526,370,0.4327,191,639,216,0,24,9,0,0,.,0,0,0,0,0,0,722,577,575,0.7964,181,598,124,0,211,7,2450,2413,2012,0.8212,431,875,1575,0,415,0,473,0,0,0,.,0,0,0,0,0,0
GA-502,264,264,225,0.8523,119,145,0,65,192,72,0,25,0,119,90,0.7563,0,0,30,95,24,0,1,0,145,135,0.931,35,97,48,0,24,0,0,0,.,0,0,0,0,0,0,15,15,2,0.1333,2,13,2,0,15,0,299,299,208,0.6957,73,202,97,0,37,2,175,5,5,0,0,0,0,5,0,0,0
GA-503,148,132,132,0.8919,147,1,0,21,76,72,0,0,0,131,131,0.8912,35,0,21,76,71,0,0,0,1,1,1,0,0,1,0,0,0,0,0,.,0,0,0,0,0,0,76,62,51,0.6711,24,65,11,0,19,0,238,238,126,0.5294,35,90,148,0,112,0,55,0,0,0,.,0,0,0,0,0,0
GA-504,225,209,164,0.7289,154,71,0,10,47,178,0,15,0,138,103,0.6688,0,5,7,39,115,0,0,0,71,61,0.8592,3,8,63,0,15,0,0,0,.,0,0,0,0,0,0,80,80,70,0.875,28,70,10,0,0,0,169,169,34,0.2012,137,142,27,0,135,0,169,0,0,0,.,0,0,0,0,0,0
GA-505,347,304,163,0.4697,293,54,0,19,111,230,6,7,6,250,109,0.372,0,0,16,106,186,1,6,1,54,54,1,3,5,44,5,1,5,0,0,.,0,0,0,0,0,0,42,42,42,1,6,13,29,0,1,0,178,178,141,0.7921,0,0,178,0,49,0,89,28,28,28,1,0,0,28,0,0,0
GA-506,285,197,179,0.6281,151,134,0,45,144,141,0,0,0,111,98,0.649,0,23,28,88,63,0,0,0,86,81,0.6045,17,56,78,0,0,0,0,0,.,0,0,0,0,0,0,42,42,42,1,11,35,7,0,23,0,446,446,108,0.2422,73,246,200,0,369,0,42,0,0,0,.,0,0,0,0,0,0
GA-507,699,641,372,0.5322,306,393,0,52,185,502,12,0,12,258,218,0.7124,40,0,23,103,191,12,0,12,383,154,0.3919,29,82,311,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,689,689,509,0.7388,230,468,221,0,132,0,93,10,10,0,0,4,10,0,0,0,0
GA-508,341,267,227,0.6657,111,230,0,62,252,89,0,12,5,59,59,0.5315,4,0,16,91,20,0,12,0,208,168,0.7304,46,161,69,0,0,5,0,0,.,0,0,0,0,0,0,225,225,225,1,61,160,65,0,202,15,1861,1861,1542,0.8286,146,496,1365,0,1155,0,250,0,0,0,.,0,0,0,0,0,0
GU-500,129,88,83,0.6434,129,0,0,19,82,26,21,5,22,88,83,0.6434,0,7,19,82,26,21,5,22,0,0,.,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,108,108,108,1,21,90,18,0,32,0,153,153,75,0.4902,19,61,92,0,78,4,54,0,0,0,.,0,0,0,0,0,0
HI-500,1036,949,949,0.916,395,641,0,191,730,306,0,5,2,318,318,0.8051,0,0,51,178,217,0,5,0,631,631,0.9844,140,552,89,0,0,2,0,0,.,0,0,0,0,0,0,344,344,344,1,93,302,42,0,27,0,442,442,292,0.6606,33,127,315,0,150,0,265,0,0,0,.,0,0,0,0,0,0
HI-501,3216,3081,3057,0.9506,1298,1893,25,552,2114,1086,16,154,25,1212,1212,0.9337,0,13,189,635,647,16,44,16,1844,1820,0.9614,363,1479,414,0,110,9,25,25,1,0,0,25,0,0,0,875,875,875,1,208,827,48,0,61,0,1684,1684,1004,0.5962,80,313,1371,0,583,0,722,0,0,0,.,0,0,0,0,0,0
IA-500,301,240,96,0.3189,177,124,0,46,178,123,0,0,0,147,3,0.0169,118,0,11,74,103,0,0,0,93,93,0.75,35,104,20,0,0,0,0,0,.,0,0,0,0,0,0,11,11,11,1,4,11,0,0,0,0,54,54,24,0.4444,4,8,46,0,30,0,49,0,0,0,.,0,0,0,0,0,0
IA-501,2295,1840,1600,0.6972,938,1357,0,447,1463,823,9,66,86,679,533,0.5682,125,60,147,431,501,6,29,6,1161,1067,0.7863,300,1032,322,3,37,80,0,0,.,0,0,0,0,0,0,470,260,260,0.5532,99,360,110,0,67,0,474,447,246,0.519,50,146,328,0,235,0,470,27,27,27,1,7,27,0,0,0,0
IA-502,670,616,578,0.8627,409,261,0,61,174,490,6,49,48,355,343,0.8386,0,64,42,133,271,5,0,18,261,235,0.9004,19,41,219,1,49,30,0,0,.,0,0,0,0,0,0,148,148,148,1,32,127,21,0,18,0,541,541,541,1,72,216,325,0,165,0,283,172,172,172,1,29,116,56,0,12,0
ID-500,771,691,230,0.2983,546,225,0,51,285,474,12,69,12,497,168,0.3077,0,86,22,200,334,12,14,12,194,62,0.2756,29,85,140,0,55,0,0,0,.,0,0,0,0,0,0,81,81,81,1,23,69,12,0,10,0,337,337,142,0.4214,43,129,208,0,195,0,337,0,0,0,.,0,0,0,0,0,0
ID-501,920,716,510,0.5543,579,341,0,161,557,355,8,50,12,391,273,0.4715,0,14,100,332,239,8,20,8,325,237,0.695,61,225,116,0,30,4,0,0,.,0,0,0,0,0,0,182,182,160,0.8791,44,150,32,0,37,0,494,487,450,0.9109,80,270,224,0,202,0,215,0,0,0,.,0,0,0,0,0,0
IL-500,130,109,109,0.8385,35,95,0,20,59,71,0,20,4,14,14,0.4,40,15,6,17,18,0,0,4,95,95,1,14,42,53,0,20,0,0,0,.,0,0,0,0,0,0,35,35,33,0.9429,10,31,4,0,0,0,94,94,94,1,16,52,38,4,3,4,23,0,0,0,.,0,0,0,0,0,0
IL-501,293,253,191,0.6519,206,87,0,38,115,178,0,15,79,166,104,0.5049,0,30,19,63,143,0,0,22,87,87,1,19,52,35,0,15,57,0,0,.,0,0,0,0,0,0,77,77,77,1,19,66,11,0,3,9,346,346,343,0.9913,40,137,209,0,109,0,128,0,0,0,.,0,0,0,0,0,0
IL-502,228,171,171,0.75,87,141,0,41,167,61,0,0,0,30,30,0.3448,65,30,16,65,22,0,0,0,141,141,1,25,102,39,0,0,0,0,0,.,0,0,0,0,0,0,30,30,30,1,6,17,13,0,4,0,368,368,120,0.3261,27,69,299,0,246,0,120,79,3,3,0.038,25,63,16,0,0,0
IL-503,146,124,112,0.7671,41,105,0,28,77,57,12,0,12,30,30,0.7317,38,0,9,28,9,4,0,4,94,82,0.781,19,49,48,8,0,8,0,0,.,0,0,0,0,0,0,13,13,13,1,3,8,5,0,11,0,82,82,60,0.7317,30,38,44,0,22,0,60,4,4,4,1,0,0,4,0,0,0
IL-504,173,137,137,0.7919,104,69,0,45,145,28,0,3,0,68,68,0.6538,0,0,28,79,25,0,3,0,69,69,1,17,66,3,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,144,144,144,1,17,58,86,0,0,0,48,0,0,0,.,0,0,0,0,0,0
IL-506,314,254,221,0.7038,202,112,0,26,156,158,0,14,0,161,142,0.703,0,4,9,84,118,0,0,0,93,79,0.7054,17,72,40,0,14,0,0,0,.,0,0,0,0,0,0,72,72,60,0.8333,18,61,11,0,2,1,291,291,233,0.8007,48,165,126,0,21,0,202,0,0,0,.,0,0,0,0,0,0
IL-507,535,462,295,0.5514,424,111,0,53,242,293,0,12,3,377,210,0.4953,0,0,29,159,265,0,12,0,85,85,0.7658,24,83,28,0,0,3,0,0,.,0,0,0,0,0,0,67,67,58,0.8657,9,42,25,0,9,0,204,204,171,0.8382,17,57,147,0,43,0,37,0,0,0,.,0,0,0,0,0,0
IL-508,175,151,151,0.8629,40,135,0,37,109,66,0,26,34,16,16,0.4,0,0,10,25,15,0,0,0,135,135,1,27,84,51,0,26,34,0,0,.,0,0,0,0,0,0,36,36,36,1,14,36,0,0,0,0,287,287,287,1,54,159,128,0,0,0,34,0,0,0,.,0,0,0,0,0,0
IL-509,94,54,54,0.5745,79,15,0,11,45,49,0,0,0,54,54,0.6835,0,4,6,32,47,0,0,0,0,0,0,5,13,2,0,0,0,0,0,.,0,0,0,0,0,0,54,54,39,0.7222,8,39,15,0,0,0,91,91,66,0.7253,10,12,79,0,25,0,38,0,0,0,.,0,0,0,0,0,0
IL-510,5138,4754,4683,0.9114,1915,3182,41,546,2277,2854,7,236,461,1865,1830,0.9556,0,2,29,260,1648,7,75,143,2848,2812,0.8837,517,2017,1165,0,161,318,41,41,1,0,0,41,0,0,0,1107,1107,1088,0.9828,211,710,397,0,226,0,9245,9245,6623,0.7164,943,2570,6675,0,2382,33,2476,231,231,189,0.8182,38,142,89,0,66,0
IL-511,483,333,333,0.6894,174,281,28,85,294,186,3,42,79,44,44,0.2529,364,11,27,120,51,3,6,6,261,261,0.9288,58,174,107,0,23,73,28,28,1,0,0,28,0,13,0,284,284,284,1,55,190,94,0,74,0,1349,1349,1349,1,154,512,837,0,714,0,589,8,8,8,1,3,7,1,0,0,0
IL-512,373,333,281,0.7534,265,96,12,66,159,185,29,7,58,225,197,0.7434,38,0,31,88,156,21,0,25,96,72,0.75,35,71,17,8,7,33,12,12,1,0,0,12,0,0,0,14,14,9,0.6429,1,3,2,9,5,9,146,146,142,0.9726,18,64,82,0,20,0,25,18,18,0,0,3,6,9,3,0,10
IL-513,276,244,209,0.7572,115,161,0,35,146,128,2,15,5,83,83,0.7217,48,0,9,54,59,2,0,2,161,126,0.7826,26,92,69,0,15,3,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,117,117,117,1,23,59,58,0,0,0,36,30,30,30,1,0,0,30,0,0,30
IL-514,351,285,285,0.812,208,143,0,41,155,188,8,5,68,164,164,0.7885,10,4,9,56,144,8,0,8,121,121,0.8462,32,99,44,0,5,60,0,0,.,0,0,0,0,0,0,32,32,32,1,6,19,13,0,2,0,358,358,358,1,58,186,172,0,40,0,201,0,0,0,.,0,0,0,0,0,0
IL-515,102,34,16,0.1569,74,28,0,27,80,22,0,0,0,34,16,0.2162,0,5,18,53,21,0,0,0,0,0,0,9,27,1,0,0,0,0,0,.,0,0,0,0,0,0,46,46,46,1,10,32,14,0,12,0,46,46,46,1,12,37,9,0,0,0,10,0,0,0,.,0,0,0,0,0,0
IL-516,139,109,72,0.518,92,47,0,24,69,67,3,0,3,62,35,0.3804,25,1,8,32,57,3,0,3,47,37,0.7872,16,37,10,0,0,0,0,0,.,0,0,0,0,0,0,7,7,6,0.8571,2,7,0,0,0,0,129,129,101,0.7829,20,45,84,0,27,0,38,24,24,24,1,8,24,0,0,0,0
IL-517,406,340,340,0.8374,333,73,0,42,119,287,0,10,0,270,270,0.8108,0,29,25,74,259,0,10,0,70,70,0.9589,17,45,28,0,0,0,0,0,.,0,0,0,0,0,0,28,28,28,1,4,15,13,0,5,0,78,78,78,1,4,14,64,0,0,0,54,47,47,47,1,6,22,25,0,14,0
IL-518,334,260,141,0.4222,172,162,0,39,148,162,24,0,35,135,16,0.093,28,8,7,46,126,0,0,0,125,125,0.7716,32,102,36,24,0,35,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,29,29,29,1,0,0,29,0,6,0,23,0,0,0,.,0,0,0,0,0,0
IL-519,119,95,87,0.7311,54,65,0,10,48,63,8,0,8,30,22,0.4074,0,12,2,12,34,8,0,8,65,65,1,8,36,29,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,108,108,108,1,26,98,10,0,0,0,40,0,0,0,.,0,0,0,0,0,0
IL-520,368,264,183,0.4973,177,191,0,68,187,178,3,12,3,116,109,0.6158,0,3,34,88,89,0,0,0,148,74,0.3874,34,99,89,3,12,3,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,81,81,36,0.4444,46,61,20,0,4,10,6,129,129,121,0.938,30,79,50,0,13,0
IN-502,4392,3302,2048,0.4663,2954,1413,25,690,2148,2175,69,217,93,2150,1227,0.4154,155,170,423,1341,1547,66,46,73,1127,796,0.5633,267,807,603,3,146,20,25,25,1,0,0,25,0,25,0,635,618,598,0.9417,154,450,185,0,120,0,2391,2377,1734,0.7252,311,825,1566,0,745,8,427,41,41,29,0.7073,3,12,29,0,0,0
IN-503,1750,1458,845,0.4829,1034,691,25,165,629,1095,26,385,34,868,382,0.3694,111,211,106,405,603,26,80,26,565,438,0.6339,59,224,467,0,305,8,25,25,1,0,0,25,0,0,0,294,245,217,0.7381,56,190,104,0,214,11,1276,1172,701,0.5494,102,371,905,0,470,20,292,37,37,37,1,12,24,13,0,0,0
KS-502,581,432,419,0.7212,427,134,20,72,252,326,3,15,28,355,342,0.8009,80,0,54,172,254,1,15,11,57,57,0.4254,18,80,52,2,0,17,20,20,1,0,0,20,0,0,0,74,74,74,1,13,52,22,0,38,5,602,602,602,1,53,175,427,0,235,13,174,0,0,0,.,0,0,0,0,0,0
KS-503,339,323,70,0.2065,277,62,0,47,109,230,0,71,5,261,40,0.1444,0,2,35,78,199,0,54,5,62,30,0.4839,12,31,31,0,17,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,380,380,380,1,57,178,202,0,27,101,14,0,0,0,.,0,0,0,0,0,0
KS-505,161,84,84,0.5217,120,41,0,44,138,23,0,0,1,60,60,0.5,0,0,34,106,14,0,0,0,24,24,0.5854,10,32,9,0,0,1,0,0,.,0,0,0,0,0,0,185,171,171,0.9243,52,168,17,0,5,1,24,24,24,1,0,0,24,0,0,0,3,0,0,0,.,0,0,0,0,0,0
KS-507,1264,949,390,0.3085,872,392,0,185,662,602,0,40,0,557,281,0.3222,25,14,112,411,461,0,20,0,392,109,0.2781,73,251,141,0,20,0,0,0,.,0,0,0,0,0,0,304,302,229,0.7533,67,235,69,0,44,0,356,356,99,0.2781,42,133,223,0,243,0,61,0,0,0,.,0,0,0,0,0,0
KY-500,1624,1190,620,0.3818,1233,391,0,189,682,920,22,100,32,846,347,0.2814,148,20,134,512,705,16,19,20,344,273,0.6982,55,170,215,6,81,12,0,0,.,0,0,0,0,0,0,562,500,469,0.8345,142,432,130,0,86,0,1127,973,784,0.6957,219,561,566,0,200,9,258,0,0,0,.,0,0,0,0,0,0
KY-501,917,813,809,0.8822,511,406,0,97,289,622,6,148,76,407,407,0.7965,0,71,42,120,385,6,16,30,406,402,0.9901,55,169,237,0,132,46,0,0,.,0,0,0,0,0,0,123,119,119,0.9675,32,102,21,0,0,18,1689,1689,1204,0.7128,186,572,1117,0,485,0,664,263,263,263,1,53,119,144,0,0,0
