CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non_DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non_DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
WA-501,4365,3677,2973,0.6811,2445,1920,0,816,2525,1780,60,1890,1491,0.6098,301,103,364,1230,1175,40,1787,1482,0.7719,452,1295,605,20,0,0,.,0,0,0,0,3377,3217,2639,0.7815,773,2058,1319,0,3325,3217,2639,0.7937,758,2006,1319,0,52,0,0,0,15,52,0,0,1893,1869,1669,0.8817,245,671,1212,10,736,573,359,0.4878,141,444,283,9
WA-502,1122,1048,509,0.4537,711,411,0,145,528,560,34,656,193,0.2714,0,2,49,237,440,34,392,316,0.7689,96,291,120,0,0,0,.,0,0,0,0,388,388,345,0.8892,54,189,199,0,388,388,345,0.8892,54,189,199,0,0,0,0,.,0,0,0,0,864,852,391,0.4525,117,343,521,0,104,104,79,0.7596,27,74,30,0
WA-503,998,922,834,0.8357,569,429,0,185,571,427,0,493,405,0.7118,329,0,72,222,347,0,429,429,1,113,349,80,0,0,0,.,0,0,0,0,897,791,791,0.8818,202,646,251,0,897,791,791,0.8818,202,646,251,0,0,0,0,.,0,0,0,0,813,813,533,0.6556,55,171,642,0,20,20,20,1,0,0,20,0
WA-504,605,553,537,0.8876,460,145,0,78,283,286,36,408,403,0.8761,100,25,53,209,238,13,145,134,0.9241,25,74,48,23,0,0,.,0,0,0,0,306,264,264,0.8627,68,182,124,0,306,264,264,0.8627,68,182,124,0,0,0,0,.,0,0,0,0,1344,1344,1058,0.7872,247,852,492,0,493,435,427,0.8661,151,452,41,0
WA-507,572,447,205,0.3584,356,216,0,136,389,183,0,287,106,0.2978,55,3,59,190,166,0,160,99,0.4583,77,199,17,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,246,246,128,0.5203,42,163,83,0,77,77,20,0.2597,16,51,26,0
WA-508,479,456,442,0.9228,163,316,0,113,336,126,17,140,140,0.8589,89,38,27,94,52,17,316,302,0.9557,86,242,74,0,0,0,.,0,0,0,0,217,217,217,1,64,191,26,0,217,217,217,1,64,191,26,0,0,0,0,.,0,0,0,0,375,375,370,0.9867,39,96,279,0,0,0,0,.,0,0,0,0
WI-500,3993,2863,2336,0.585,2274,1712,7,808,2568,1406,19,1469,1145,0.5035,281,249,411,1373,882,19,1387,1184,0.6916,397,1195,517,0,7,7,1,0,0,7,0,436,436,436,1,85,302,134,0,436,436,436,1,85,302,134,0,0,0,0,.,0,0,0,0,566,566,338,0.5972,55,148,418,0,87,87,42,0.4828,11,42,45,0
WI-501,1500,1428,1407,0.938,752,705,43,229,704,768,28,690,678,0.9016,10,0,91,277,447,28,695,686,0.973,138,427,278,0,43,43,1,0,0,43,0,169,169,169,1,45,150,19,0,169,169,169,1,45,150,19,0,0,0,0,.,0,0,0,0,1530,1530,1530,1,109,327,1203,0,90,90,90,1,30,90,0,0
WI-502,307,250,236,0.7687,203,104,0,40,138,161,8,178,164,0.8079,0,0,20,77,118,8,72,72,0.6923,20,61,43,0,0,0,.,0,0,0,0,29,29,29,1,0,0,29,0,29,29,29,1,0,0,29,0,0,0,0,.,0,0,0,0,134,125,89,0.6642,9,26,108,0,0,0,0,.,0,0,0,0
WI-503,604,527,477,0.7897,385,205,14,167,317,278,9,323,320,0.8312,35,1,124,217,159,9,190,143,0.6976,43,100,105,0,14,14,1,0,0,14,0,261,261,261,1,75,237,24,0,249,249,249,1,70,225,24,0,12,12,12,1,5,12,0,0,857,857,734,0.8565,99,317,540,0,94,94,91,0.9681,10,20,74,0
WV-500,113,84,80,0.708,63,50,0,27,64,49,0,48,48,0.7619,16,14,14,24,39,0,36,32,0.64,13,40,10,0,0,0,.,0,0,0,0,13,13,13,1,0,0,13,0,13,13,13,1,0,0,13,0,0,0,0,.,0,0,0,0,18,18,18,1,0,0,18,0,0,0,0,.,0,0,0,0
WV-501,292,271,258,0.8836,215,64,13,40,138,154,0,194,181,0.8419,0,0,22,74,141,0,64,64,1,18,64,0,0,13,13,1,0,0,13,0,16,16,16,1,3,10,6,0,16,16,16,1,3,10,6,0,0,0,0,.,0,0,0,0,364,364,364,1,59,137,227,0,121,121,121,1,1,2,119,0
WV-503,383,366,205,0.5352,289,94,0,35,98,275,10,272,141,0.4879,0,20,29,80,204,5,94,64,0.6809,6,18,71,5,0,0,.,0,0,0,0,27,27,27,1,4,12,15,0,27,27,27,1,4,12,15,0,0,0,0,.,0,0,0,0,150,150,150,1,2,4,146,0,0,0,0,.,0,0,0,0
WV-508,943,730,632,0.6702,702,241,0,96,359,584,0,569,479,0.6823,24,16,74,267,435,0,161,153,0.6349,22,92,149,0,0,0,.,0,0,0,0,252,252,230,0.9127,43,84,168,0,252,252,230,0.9127,43,84,168,0,0,0,0,.,0,0,0,0,821,821,519,0.6322,112,304,517,0,34,34,34,1,12,34,0,0
WY-500,812,592,515,0.6342,511,301,0,139,401,410,1,329,275,0.5382,24,2,85,234,276,1,263,240,0.7973,54,167,134,0,0,0,.,0,0,0,0,8,8,8,1,3,6,2,0,8,8,8,1,3,6,2,0,0,0,0,.,0,0,0,0,208,208,14,0.0673,27,58,150,0,6,6,6,1,0,0,6,0
Total,411285,361229,299081,0.7272,264629,144749,1907,63870,209122,198247,3916,230385,190715,0.7207,21368,17446,39603,133523,128315,2791,128971,106584,0.7363,24267,75599,68025,1125,1873,1782,1,0,0,1907,0,77141,74093,68208,0.8842,18312,56589,20541,11,75686,72784,66958,0.8847,17930,55261,20414,11,1455,1309,1250,1,382,1328,127,0,340906,337926,246589,0.7233,43007,122978,217841,87,37770,37378,17119,0.4532,7465,24537,13224,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory, the sum of the housing inventory counts the CoC separately reported for the portions of its territory in MO and in KS. However, in the companion file, Housing Inventory Count by State, MO-604's data have been split up between MO and KS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
