CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonaloverflow,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
NC-513,95,95,95,1,66,29,0,10,29,66,66,66,66,1.0,0,22,0,0,66,29,29,29,29,1,10,29,0,0,0,0,0,0,0,93,93,93,37,0.398,17,24,68,25
NC-516,132,58,44,0.759,100,32,0,26,56,76,100,30,20,0.667,2,7,22,44,56,32,32,28,24,0.857,4,12,20,0,0,0,0,0,0,48,48,40,32,0.8,2,7,14,34
ND-500,739,539,535,0.993,585,154,0,104,324,415,585,450,446,0.991,0,45,81,234,351,154,154,89,89,1,23,90,64,0,0,0,0,0,0,479,479,479,388,0.81,95,62,141,338
NE-500,1296,909,615,0.677,671,625,0,266,771,525,671,382,166,0.435,0,108,123,379,292,625,625,527,449,0.852,143,392,233,0,0,0,0,0,0,290,290,290,58,0.2,14,28,82,208
NE-501,1568,1464,1361,0.93,867,701,0,198,654,914,867,810,787,0.972,0,341,86,294,573,701,701,654,574,0.878,112,360,341,0,0,0,0,0,0,409,409,409,203,0.496,43,56,187,222
NE-502,943,856,734,0.857,335,608,0,202,562,381,335,285,285,1.0,0,80,44,189,146,608,608,571,449,0.786,158,373,235,0,0,0,0,0,0,119,119,119,119,1.0,9,60,60,59
NH-500,738,584,508,0.87,445,293,0,139,457,281,445,319,319,1.0,78,0,74,232,213,293,293,265,189,0.713,65,225,68,0,0,0,0,0,0,264,264,264,234,0.886,58,34,97,167
NH-501,301,283,283,1,120,177,4,62,144,157,120,102,102,1.0,0,27,9,23,97,177,177,177,177,1,53,121,56,4,4,4,4,1,4,271,271,271,185,0.683,12,49,141,130
NH-502,321,309,255,0.825,93,223,5,49,143,178,93,83,59,0.711,12,0,10,32,61,223,223,221,191,0.864,39,111,112,5,5,5,5,1,5,521,521,521,470,0.902,140,94,249,272
NJ-500,415,381,381,1,399,16,0,28,87,328,399,381,381,1.0,0,131,24,71,328,16,16,0,.,.,4,16,0,0,0,0,0,0,0,57,57,57,57,1.0,17,0,0,57
NJ-501,238,159,159,1,122,116,0,28,77,161,122,90,90,1.0,15,1265,10,25,97,116,116,69,69,1,18,52,64,0,0,0,0,0,0,186,186,186,155,0.833,74,9,19,167
NJ-502,489,462,389,0.842,451,38,0,138,377,112,451,424,351,0.828,42,549,134,349,102,38,38,38,38,1,4,28,10,0,0,0,0,0,0,109,109,109,109,1.0,19,16,57,52
NJ-503,455,419,419,1,191,264,0,71,185,270,191,155,155,1.0,30,183,37,101,90,264,264,264,264,1,34,84,180,0,0,0,0,0,0,280,280,280,144,0.514,35,31,61,219
NJ-504,2373,2340,2326,0.994,1570,803,0,311,1020,1353,1570,1570,1556,0.991,0,0,132,406,1164,803,803,770,770,1,179,614,189,0,0,0,0,0,0,681,681,681,681,1.0,117,121,354,327
NJ-505,146,72,66,0.917,104,34,8,47,102,44,104,38,38,1.0,0,60,32,68,36,34,34,26,20,0.769,15,34,0,8,8,8,8,1,8,38,38,38,38,1.0,0,5,8,30
NJ-506,457,391,379,0.969,249,208,0,94,248,209,249,225,225,1.0,0,1006,28,74,175,208,208,166,154,0.928,66,174,34,0,0,0,0,0,0,254,254,254,150,0.591,56,20,69,185
NJ-507,361,340,340,1,172,189,0,85,244,117,172,151,151,1.0,35,543,34,112,60,189,189,189,189,1,51,132,57,0,0,0,0,0,0,127,127,127,42,0.331,27,19,47,80
NJ-508,241,183,183,1,73,168,0,70,207,34,73,48,48,1.0,14,330,12,39,34,168,168,135,135,1,58,168,.,0,0,0,0,0,0,256,256,256,215,0.84,103,19,57,199
NJ-509,280,222,222,1,132,128,20,47,128,152,132,99,99,1.0,0,135,25,74,58,128,128,103,103,1,22,54,74,20,20,20,20,1,20,139,139,139,127,0.914,7,20,56,83
NJ-510,106,40,12,0.3,55,51,0,42,99,7,55,28,0,0.0,0,427,14,49,6,51,51,12,12,1,28,50,1,0,0,0,0,0,0,69,69,69,55,0.797,22,14,45,24
NJ-511,395,250,250,1,278,117,0,104,261,134,278,178,178,1.0,0,180,64,162,116,117,117,72,72,1,40,99,18,0,0,0,0,0,0,415,415,415,378,0.911,247,7,21,394
NJ-512,63,63,63,1,34,29,0,15,33,30,34,34,34,1.0,0,0,8,10,24,29,29,29,29,1,7,23,6,0,0,0,0,0,0,99,99,99,99,1.0,99,0,0,99
NJ-513,302,260,155,0.596,174,128,0,35,88,214,174,159,60,0.377,0,129,25,55,119,128,128,101,95,0.941,10,33,95,0,0,0,0,0,0,114,114,114,32,0.281,11,0,0,114
NJ-514,620,596,554,0.93,249,371,0,141,376,244,249,225,225,1.0,110,216,53,154,95,371,371,371,329,0.887,88,222,149,0,0,0,0,0,0,796,796,796,444,0.558,135,101,283,513
NJ-515,327,295,295,1,220,107,0,63,194,133,220,194,194,1.0,14,1105,32,95,125,107,107,101,101,1,31,99,8,0,0,0,0,0,0,309,309,279,279,1.0,16,49,142,167
NJ-516,188,77,63,0.818,152,36,0,60,179,9,152,77,63,0.818,0,343,53,144,8,36,36,0,.,.,7,35,1,0,0,0,0,0,0,30,30,30,30,1.0,19,0,0,30
NJ-518,36,0,0,.,0,36,0,6,36,0,0,0,0,0.0,0,377,0,0,0,36,36,0,.,.,6,36,.,0,0,0,0,0,0,25,25,25,17,0.68,17,4,8,17
NJ-520,84,84,63,0.75,77,7,0,14,40,44,77,77,56,0.727,0,0,11,33,44,7,7,7,7,1,3,7,.,0,0,0,0,0,0,5,5,5,5,1.0,5,0,0,5
NM-500,898,695,396,0.57,367,531,0,200,517,381,367,282,129,0.457,335,15,70,139,228,531,531,413,267,0.646,130,378,153,0,0,0,0,0,0,943,943,943,504,0.534,238,120,301,642
NM-501,1899,1032,476,0.461,1262,637,0,252,1038,861,1262,569,172,0.302,176,0,138,687,575,637,637,463,304,0.657,114,351,286,0,0,0,0,0,0,503,503,503,416,0.827,192,65,180,323
NV-500,3778,3613,2000,0.554,852,2901,25,382,1161,2617,852,712,584,0.82,185,50,97,264,588,2901,2901,2876,1391,0.484,285,897,2004,25,25,25,25,1,25,1729,1729,1729,755,0.437,379,182,505,1224
NV-501,713,661,332,0.502,421,292,0,71,230,483,421,390,332,0.851,75,0,47,164,257,292,292,271,0,0,24,66,226,0,0,0,0,0,0,441,441,441,194,0.44,82,33,90,351
NV-502,284,133,128,0.962,210,74,0,80,248,36,210,83,83,1.0,28,317,38,187,23,74,74,50,45,0.9,42,61,13,0,0,0,0,0,0,158,158,158,65,0.411,14,20,63,95
NY-500,750,712,643,0.903,484,254,12,153,421,329,484,446,377,0.845,15,38,89,263,221,254,254,254,254,1,64,158,96,12,12,12,12,1,12,1788,1788,1788,1643,0.919,77,384,1045,743
NY-501,320,274,195,0.712,49,271,0,23,55,265,49,15,15,1.0,0,21,8,15,34,271,271,259,180,0.695,15,40,231,0,0,0,0,0,0,309,309,309,274,0.887,25,35,45,264
NY-502,62,53,28,0.528,53,9,0,15,39,23,53,44,19,0.432,0,0,12,30,23,9,9,9,9,1,3,9,0,0,0,0,0,0,0,38,38,38,38,1.0,5,10,23,15
NY-503,466,415,350,0.843,279,187,0,64,137,329,279,249,249,1.0,19,229,47,99,180,187,187,166,101,0.608,17,38,149,0,0,0,0,0,0,804,804,804,616,0.766,68,123,340,464
NY-504,41,33,30,0.909,24,17,0,16,33,8,24,16,13,0.813,0,9,8,18,6,17,17,17,17,1,8,15,2,0,0,0,0,0,0,46,46,46,46,1.0,2,7,13,33
NY-505,725,689,683,0.991,377,348,0,85,222,503,377,341,335,0.982,0,22,28,88,289,348,348,348,348,1,57,134,214,0,0,0,0,0,0,1024,1024,1024,1016,0.992,145,114,295,729
NY-506,30,0,0,.,30,0,0,6,20,10,30,0,0,0.0,8,52,6,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0.0,0,0,0,2
NY-507,180,160,45,0.281,145,35,0,24,61,119,145,125,28,0.224,0,182,16,42,103,35,35,35,17,0.486,8,19,16,0,0,0,0,0,0,393,393,393,393,1.0,40,53,157,236
NY-508,929,850,626,0.736,487,426,16,135,421,508,487,487,308,0.632,0,0,31,154,333,426,426,347,302,0.87,104,267,159,16,16,16,16,1,16,836,836,836,640,0.766,35,15,36,800
NY-509,44,26,0,0,24,20,0,10,11,33,24,6,0,0.0,0,0,9,10,14,20,20,20,0,0,1,1,19,0,0,0,0,0,0,103,103,103,0,0.0,103,4,9,94
NY-510,54,45,45,1,18,36,0,13,31,23,18,9,9,1.0,0,10,5,9,9,36,36,36,36,1,8,22,14,0,0,0,0,0,0,57,57,57,57,1.0,26,6,22,35
NY-511,263,243,210,0.864,108,155,0,18,47,216,108,88,84,0.955,2,7,14,31,77,155,155,155,126,0.813,4,16,139,0,0,0,0,0,0,230,230,230,226,0.983,60,42,96,134
NY-512,100,74,70,0.946,65,35,0,27,67,33,65,47,43,0.915,10,90,16,42,23,35,35,27,27,1,11,25,10,0,0,0,0,0,0,503,503,476,476,1.0,43,79,255,248
NY-513,111,102,20,0.196,87,24,0,15,38,73,87,78,2,0.026,0,0,15,38,49,24,24,24,18,0.75,.,.,24,0,0,0,0,0,0,20,20,20,20,1.0,0,4,12,8
NY-514,142,136,100,0.735,79,63,0,40,94,48,79,73,51,0.699,0,0,16,38,41,63,63,63,49,0.778,24,56,7,0,0,0,0,0,0,39,39,39,39,1.0,0,8,21,18
NY-516,150,141,141,1,92,58,0,8,39,111,92,83,83,1.0,0,45,8,39,53,58,58,58,58,1,.,.,58,0,0,0,0,0,0,99,99,99,99,1.0,14,15,66,33
NY-517,74,65,50,0.769,24,50,0,16,56,18,24,15,0,0.0,0,1,1,7,17,50,50,50,50,1,15,49,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
NY-518,202,135,86,0.637,126,76,0,40,100,102,126,104,64,0.615,0,10,20,47,79,76,76,31,22,0.71,20,53,23,0,0,0,0,0,0,547,547,547,455,0.832,34,120,280,267
NY-519,33,0,0,.,25,8,0,27,31,2,25,0,0,0.0,0,152,23,23,2,8,8,0,.,.,4,8,0,0,0,0,0,0,0,32,32,32,22,0.688,6,7,17,15
NY-520,15,6,6,1,15,0,0,4,9,6,15,6,6,1.0,0,0,4,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,37,37,1.0,18,0,0,37
NY-522,194,155,0,0,44,150,0,50,111,83,44,5,0,0.0,0,11,14,39,5,150,150,150,0,0,36,72,78,0,0,0,0,0,0,65,65,65,60,0.923,8,8,20,45
NY-523,110,71,59,0.831,60,50,0,32,61,49,60,45,33,0.733,0,177,22,32,28,50,50,26,26,1,10,29,21,0,0,0,0,0,0,111,111,105,103,0.981,10,14,41,70
NY-524,248,202,0,0,81,167,0,22,61,187,81,57,0,0.0,0,0,12,30,51,167,167,145,0,0,10,31,136,0,0,0,0,0,0,194,194,194,0,0.0,16,27,56,138
NY-600,52692,49237,45327,0.921,45767,6819,106,10858,33680,19012,45767,43539,41661,0.957,0,182,10250,31852,13915,6819,6819,5592,3560,0.637,608,1828,4991,106,106,106,106,1,106,27449,27449,27127,13004,0.479,7593,2619,8244,19205
NY-601,461,382,296,0.775,264,197,0,140,283,178,264,220,138,0.627,0,34,95,178,86,197,197,162,158,0.975,45,105,92,0,0,0,0,0,0,197,197,197,112,0.569,29,40,98,99
NY-602,255,242,222,0.917,209,46,0,60,143,112,209,196,176,0.898,0,36,44,97,112,46,46,46,46,1,16,46,.,0,0,0,0,0,0,247,247,247,213,0.862,55,64,136,111
NY-603,1900,1900,1061,0.558,1279,621,0,346,1468,432,1279,1279,568,0.444,70,400,265,1067,212,621,621,621,493,0.794,81,401,220,0,0,0,0,0,0,1519,1519,1519,1107,0.729,80,243,971,548
NY-604,2542,2472,2307,0.933,644,1898,0,503,1793,749,644,595,506,0.85,21,0,93,186,458,1898,1898,1877,1801,0.96,410,1607,291,0,0,0,0,0,0,1492,1492,1492,1324,0.887,126,147,396,1096
NY-605,745,647,243,0.376,566,179,0,186,517,228,566,551,178,0.323,100,106,142,410,156,179,179,96,65,0.677,44,107,72,0,0,0,0,0,0,793,793,772,654,0.847,29,184,509,284
NY-606,119,79,64,0.81,61,58,0,36,86,33,61,46,40,0.87,0,0,26,61,0,58,58,33,24,0.727,10,25,33,0,0,0,0,0,0,375,375,375,294,0.784,25,59,110,265
NY-607,19,10,10,1,10,0,9,0,0,19,10,10,10,1.0,0,220,0,0,10,0,0,0,0,0,0,0,0,9,9,0,.,.,9,54,54,54,54,1.0,12,9,18,36
NY-608,107,90,76,0.844,77,30,0,30,66,41,77,60,46,0.767,0,118,18,54,23,30,30,30,30,1,12,12,18,0,0,0,0,0,0,179,179,179,136,0.76,41,39,90,89
OH-500,1349,1200,1180,0.983,608,741,0,146,595,754,608,543,523,0.963,0,20,16,225,383,741,741,657,657,1,130,370,371,0,0,0,0,0,0,1642,1642,1642,1492,0.909,218,185,525,1117
OH-501,950,888,744,0.838,488,450,12,126,361,589,488,460,367,0.798,0,100,63,163,325,450,450,416,365,0.877,63,198,252,12,12,12,12,1,12,767,767,767,669,0.872,235,117,299,468
OH-502,2143,2098,1605,0.765,1160,963,20,214,570,1573,1160,1115,764,0.685,0,95,112,299,861,963,963,963,821,0.853,102,271,692,20,20,20,20,1,20,3970,3970,3970,3026,0.762,1338,636,1631,2339
OH-503,942,908,878,0.967,766,176,0,162,309,633,766,732,716,0.978,140,70,126,235,531,176,176,176,162,0.92,36,74,102,0,0,0,0,0,0,1856,1856,1856,1704,0.918,520,209,456,1400
OH-504,298,271,271,1,181,116,1,57,192,106,181,154,154,1.0,0,0,31,100,81,116,116,116,116,1,26,92,24,1,1,1,1,1,1,268,268,268,268,1.0,69,56,185,83
OH-505,894,851,733,0.861,479,390,25,158,399,495,479,443,443,1.0,0,60,66,166,313,390,390,383,265,0.692,92,233,157,25,25,25,25,1,25,854,854,854,854,1.0,168,131,317,537
OH-506,683,561,462,0.824,304,371,8,148,376,307,304,264,261,0.989,0,60,69,161,143,371,371,289,193,0.668,79,215,156,8,8,8,8,1,8,381,381,381,314,0.824,147,38,102,279
OH-507,4028,3419,2900,0.848,1897,2121,10,790,2421,1607,1897,1415,1097,0.775,113,118,306,900,997,2121,2121,1994,1793,0.899,484,1521,600,10,10,10,10,1,10,1724,1724,1724,1535,0.89,204,187,543,1181
OH-508,406,361,334,0.925,214,172,20,87,248,158,214,169,142,0.84,0,16,43,123,91,172,172,172,172,1,44,125,47,20,20,20,20,1,20,372,372,372,329,0.884,133,32,105,267
OK-500,290,204,153,0.75,192,98,0,68,182,108,192,124,73,0.589,0,10,42,130,62,98,98,80,80,1,26,52,46,0,0,0,0,0,0,2,2,2,2,1.0,2,0,0,2
OK-501,820,705,675,0.957,517,253,50,126,311,509,517,431,431,1.0,0,153,77,192,325,253,253,224,194,0.866,49,119,134,50,50,50,50,1,50,216,216,216,153,0.708,117,1,3,213
OK-502,1042,945,679,0.719,781,261,0,89,240,802,781,726,538,0.741,0,40,56,127,654,261,261,219,141,0.644,33,113,148,0,0,0,0,0,0,448,448,433,287,0.663,154,27,87,361
OK-503,191,124,54,0.435,122,69,0,35,93,98,122,70,0,0.0,0,0,17,45,77,69,69,54,54,1,18,48,21,0,0,0,0,0,0,51,51,51,34,0.667,32,7,19,32
OK-504,195,181,155,0.856,44,151,0,57,146,49,44,30,30,1.0,0,38,6,24,20,151,151,151,125,0.828,51,122,29,0,0,0,0,0,0,34,34,34,34,1.0,2,10,18,16
OK-505,404,309,118,0.382,327,77,0,61,186,218,327,240,57,0.238,0,0,48,152,175,77,77,69,61,0.884,13,34,43,0,0,0,0,0,0,40,40,25,15,0.6,24,3,8,32
OK-506,200,200,137,0.685,130,61,9,27,74,126,130,130,80,0.615,0,12,16,33,97,61,61,61,57,0.934,11,41,20,9,9,9,0,0,9,0,0,0,0,0.0,0,0,0,0
OK-507,490,270,27,0.1,418,72,0,151,308,182,418,206,22,0.107,0,42,138,275,143,72,72,64,5,0.078,13,33,39,0,0,0,0,0,0,55,55,55,55,1.0,0,15,50,5
OR-500,855,806,426,0.529,445,382,28,138,403,452,445,424,44,0.104,35,246,29,91,354,382,382,354,354,1,109,312,70,28,28,28,28,1,28,218,218,218,171,0.784,111,21,55,163
OR-501,2629,2313,1914,0.827,606,2023,0,541,1403,1226,606,507,297,0.586,205,75,116,217,389,2023,2023,1806,1617,0.895,425,1186,837,0,0,0,0,0,0,2870,2870,2870,1995,0.695,595,254,769,2101
OR-502,589,555,81,0.146,246,343,0,77,242,347,246,212,0,0.0,12,0,14,91,155,343,343,343,81,0.236,63,151,192,0,0,0,0,0,0,522,522,522,55,0.105,99,70,154,368
OR-503,345,318,215,0.676,135,210,0,83,232,113,135,108,79,0.731,0,38,21,73,62,210,210,210,136,0.648,62,159,51,0,0,0,0,0,0,43,43,43,0,0.0,43,4,16,27
OR-505,2549,2270,845,0.372,1160,1384,5,426,1219,1330,1160,940,94,0.1,45,222,162,449,711,1384,1384,1325,746,0.563,264,770,614,5,5,5,5,1,5,701,701,701,164,0.234,122,98,275,426
OR-506,274,248,242,0.976,98,166,10,76,216,58,98,72,72,1.0,0,0,26,93,5,166,166,166,160,0.964,50,123,43,10,10,10,10,1,10,350,350,350,350,1.0,47,60,164,186
OR-507,136,105,105,1,34,102,0,48,118,18,34,16,16,1.0,0,0,9,30,4,102,102,89,89,1,39,88,14,0,0,0,0,0,0,216,216,210,210,1.0,19,34,113,103
PA-500,6103,5918,4865,0.822,3727,2306,70,1022,3279,2824,3727,3627,2820,0.778,348,37,516,1535,2192,2306,2306,2221,1975,0.889,506,1744,562,70,70,70,70,1,70,4732,4732,4732,4195,0.887,646,847,2877,1855
PA-501,388,370,342,0.924,187,176,25,72,201,187,187,169,164,0.97,32,23,28,82,105,176,176,176,153,0.869,44,119,57,25,25,25,25,1,25,157,157,157,105,0.669,42,15,47,110
PA-502,684,633,561,0.886,371,313,0,143,447,237,371,348,312,0.897,0,55,69,200,171,313,313,285,249,0.874,74,247,66,0,0,0,0,0,0,277,277,277,252,0.91,36,33,117,160
PA-503,238,191,173,0.906,102,136,0,33,91,147,102,80,80,1.0,0,105,11,26,76,136,136,111,93,0.838,22,65,71,0,0,0,0,0,0,246,246,246,225,0.915,32,40,151,95
PA-504,460,370,349,0.943,204,256,0,102,364,96,204,183,162,0.885,45,15,35,142,62,256,256,187,187,1,67,222,34,0,0,0,0,0,0,183,183,183,183,1.0,58,18,58,125
PA-505,799,703,276,0.393,323,468,8,81,255,544,323,307,112,0.365,12,0,20,66,257,468,468,388,156,0.402,61,189,279,8,8,8,8,1,8,394,394,394,265,0.673,17,71,172,222
PA-506,479,401,341,0.85,186,293,0,73,248,231,186,160,100,0.625,40,0,15,61,125,293,293,241,241,1,58,187,106,0,0,0,0,0,0,304,304,304,274,0.901,58,44,139,165
PA-507,1247,862,712,0.826,633,614,0,251,829,418,633,338,265,0.784,20,34,116,401,232,614,614,524,447,0.853,135,428,186,0,0,0,0,0,0,433,433,433,243,0.561,74,31,79,354
PA-508,229,208,208,1,53,176,0,54,152,77,53,41,41,1.0,24,7,9,23,30,176,176,167,167,1,45,129,47,0,0,0,0,0,0,51,51,51,51,1.0,51,0,0,51
PA-509,921,757,622,0.822,325,596,0,198,658,263,325,221,189,0.855,40,3,48,182,143,596,596,536,433,0.808,150,476,120,0,0,0,0,0,0,330,330,330,330,1.0,96,42,125,205
PA-510,642,581,570,0.981,260,382,0,123,365,277,260,222,222,1.0,65,3,41,128,132,382,382,359,348,0.969,82,237,145,0,0,0,0,0,0,157,157,157,112,0.713,25,23,61,96
PA-511,489,476,434,0.912,96,393,0,125,368,121,96,83,82,0.988,0,20,26,70,26,393,393,393,352,0.896,99,298,95,0,0,0,0,0,0,44,44,44,36,0.818,22,0,0,44
PA-512,390,291,291,1,213,177,0,37,200,190,213,176,176,1.0,0,9,12,101,112,177,177,115,115,1,25,99,78,0,0,0,0,0,0,159,159,159,159,1.0,8,1,2,157
PA-600,1484,1360,1112,0.818,478,968,38,269,746,738,478,405,281,0.694,108,15,61,190,288,968,968,917,793,0.865,208,556,412,38,38,38,38,1,38,1238,1238,1238,1083,0.875,389,258,782,456
PA-601,742,595,542,0.911,341,369,32,105,414,328,341,250,197,0.788,0,32,28,171,170,369,369,313,313,1,77,243,126,32,32,32,32,1,32,391,391,332,232,0.699,60,53,158,233
PA-602,476,295,120,0.407,325,151,0,66,224,252,325,188,35,0.186,0,11,37,141,184,151,151,107,85,0.794,29,83,68,0,0,0,0,0,0,343,343,315,282,0.895,53,37,104,239
PA-603,130,95,95,1,43,87,0,18,60,70,43,18,18,1.0,10,0,9,31,12,87,87,77,77,1,9,29,58,0,0,0,0,0,0,129,129,129,129,1.0,5,15,42,87
PA-605,462,349,337,0.966,281,181,0,81,255,207,281,196,196,1.0,0,2,33,138,143,181,181,153,141,0.922,48,117,64,0,0,0,0,0,0,327,327,327,327,1.0,53,46,117,210
PR-502,1260,1036,981,0.947,356,882,22,99,234,1026,356,230,221,0.961,0,0,30,67,289,882,882,784,747,0.953,69,167,715,22,22,22,13,0.591,22,840,840,840,565,0.673,294,114,220,620
PR-503,793,592,592,1,262,476,55,72,280,513,262,173,173,1.0,0,0,6,87,175,476,476,364,364,1,66,193,283,55,55,55,55,1,55,228,228,228,228,1.0,129,37,106,122
RI-500,1300,1170,998,0.853,767,515,18,270,662,638,767,657,577,0.878,117,23,138,345,422,515,515,495,404,0.816,132,317,198,18,18,18,17,0.944,18,1731,1731,1731,1291,0.746,294,201,652,1079
SC-500,467,407,178,0.437,209,258,0,26,137,330,209,149,124,0.832,10,0,21,92,117,258,258,258,54,0.209,5,45,213,0,0,0,0,0,0,215,215,215,58,0.27,50,2,18,197
SC-501,1736,1533,1098,0.716,825,899,12,167,736,1000,825,637,443,0.695,213,242,35,332,493,899,899,884,643,0.727,132,404,495,12,12,12,12,1,12,178,178,178,128,0.719,107,8,20,158
SC-502,908,781,693,0.887,327,581,0,137,387,521,327,200,154,0.77,235,60,51,156,171,581,581,581,539,0.928,86,231,350,0,0,0,0,0,0,672,672,585,585,1.0,61,100,333,339
SC-503,680,574,494,0.861,326,354,0,93,320,360,326,248,216,0.871,0,94,40,133,193,354,354,326,278,0.853,53,187,167,0,0,0,0,0,0,413,413,413,357,0.864,57,81,261,152
SD-500,1319,947,307,0.324,718,601,0,257,713,606,718,346,164,0.474,0,42,162,451,267,601,601,601,143,0.238,95,262,339,0,0,0,0,0,0,281,281,281,245,0.872,121,49,133,148
TN-500,301,257,253,0.984,169,132,0,51,161,140,169,169,165,0.976,0,92,12,44,125,132,132,88,88,1,39,117,15,0,0,0,0,0,0,404,404,385,311,0.808,109,51,153,251
TN-501,1865,1769,1367,0.773,466,1399,0,237,837,1028,466,440,353,0.802,0,200,51,166,300,1399,1399,1329,1014,0.763,186,671,728,0,0,0,0,0,0,546,546,546,325,0.595,181,41,121,425
TN-502,876,849,662,0.78,402,474,0,76,206,670,402,385,380,0.987,0,172,32,68,334,474,474,464,282,0.608,44,138,336,0,0,0,0,0,0,914,914,851,680,0.799,280,184,420,494
TN-503,345,260,169,0.65,194,151,0,25,85,260,194,123,86,0.699,0,29,18,55,139,151,151,137,83,0.606,7,30,121,0,0,0,0,0,0,124,124,124,124,1.0,24,12,48,76
TN-504,1606,1485,486,0.327,725,865,16,130,387,1219,725,662,93,0.14,240,0,55,157,568,865,865,807,377,0.467,75,230,635,16,16,16,16,1,16,1071,1071,1071,764,0.713,125,204,445,626
TN-506,277,209,97,0.464,217,60,0,38,121,156,217,153,41,0.268,0,0,27,84,133,60,60,56,56,1,11,37,23,0,0,0,0,0,0,65,65,65,65,1.0,63,30,51,14
TN-507,479,421,42,0.1,243,228,8,52,160,319,243,216,0,0.0,0,15,33,98,145,228,228,197,34,0.173,19,62,166,8,8,8,8,1,8,181,181,181,181,1.0,31,12,31,150
TN-509,466,369,226,0.612,346,120,0,47,148,318,346,249,118,0.474,0,0,37,118,228,120,120,120,108,0.9,10,30,90,0,0,0,0,0,0,274,274,262,192,0.733,206,28,72,202
TN-510,153,98,87,0.888,127,26,0,22,92,61,127,79,75,0.949,0,8,18,78,49,26,26,19,12,0.632,4,14,12,0,0,0,0,0,0,118,118,118,69,0.585,33,21,61,57
TN-512,378,240,155,0.646,270,108,0,84,208,170,270,139,98,0.705,55,14,65,182,88,108,108,101,57,0.564,19,26,82,0,0,0,0,0,0,24,24,24,0,0.0,8,0,0,24
TX-500,2346,2101,1856,0.883,1332,970,44,370,1232,1114,1332,1152,1094,0.95,35,12,153,524,808,970,970,905,718,0.793,217,708,262,44,44,44,44,1,44,876,876,876,476,0.543,44,158,522,354
TX-501,952,887,335,0.378,664,288,0,123,237,715,664,599,197,0.329,80,10,108,187,477,288,288,288,138,0.479,15,50,238,0,0,0,0,0,0,132,132,132,15,0.114,20,12,48,84
TX-503,1214,1000,897,0.897,607,591,16,322,740,474,607,521,521,1.0,15,164,120,263,344,591,591,463,360,0.778,202,477,114,16,16,16,16,1,16,871,871,871,647,0.743,232,122,275,596
TX-504,144,118,82,0.695,104,40,0,26,84,60,104,78,42,0.538,0,30,20,54,50,40,40,40,40,1,6,30,10,0,0,0,0,0,0,42,42,42,42,1.0,21,4,8,34
TX-600,4675,4138,1359,0.328,2169,2461,45,485,1578,3097,2169,1873,110,0.059,0,95,162,551,1618,2461,2461,2220,1204,0.542,323,1027,1434,45,45,45,45,1,45,1640,1640,1640,1061,0.647,711,82,191,1449
TX-601,2264,1917,1917,1,1344,900,20,345,1092,1172,1344,1170,1170,1.0,33,46,106,432,912,900,900,727,727,1,239,660,240,20,20,20,20,1,20,1512,1512,1512,1512,1.0,700,206,524,988
TX-603,1298,1194,1009,0.845,777,501,20,159,603,695,777,688,618,0.898,0,76,67,267,510,501,501,486,371,0.763,92,336,165,20,20,20,20,1,20,270,270,270,145,0.537,92,15,52,218
TX-604,286,213,197,0.925,109,161,16,33,126,160,109,54,54,1.0,0,33,13,46,63,161,161,143,143,1,20,80,81,16,16,16,0,0,16,102,102,102,31,0.304,15,6,20,82
TX-607,4186,2612,1766,0.676,3267,919,0,659,2422,1764,3267,1877,1193,0.636,20,273,467,1825,1442,919,919,735,573,0.78,192,597,322,0,0,0,0,0,0,382,382,382,124,0.325,112,44,121,261
