CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonaloverflow,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
GA-501,3056,1842,1536,0.834,1531,1525,0,616,2033,1023,1531,876,659,0.752,0,0,248,784,747,1525,1525,966,877,0.908,368,1249,276,0,0,0,0,0,0,1910,1910,1854,1118,0.603,320,374,977,933
GA-503,214,198,148,0.747,110,104,0,30,118,96,110,94,92,0.979,97,0,9,40,70,104,104,104,56,0.538,21,78,26,0,0,0,0,0,0,89,89,89,89,1.0,69,9,20,69
GA-504,532,532,279,0.524,278,254,0,66,193,339,278,278,130,0.468,0,32,23,74,204,254,254,254,149,0.587,43,119,135,0,0,0,0,0,0,92,92,92,69,0.75,24,16,40,52
GA-505,306,267,97,0.363,234,72,0,23,101,205,234,195,53,0.272,6,3,21,85,149,72,72,72,44,0.611,2,16,56,0,0,0,0,0,0,155,155,155,155,1.0,48,0,0,155
GA-506,410,332,322,0.97,113,297,0,79,229,181,113,81,81,1.0,0,0,17,38,75,297,297,251,241,0.96,62,191,106,0,0,0,0,0,0,132,132,132,89,0.674,30,18,46,86
GA-507,759,711,477,0.671,375,384,0,52,180,579,375,327,267,0.817,40,0,17,61,314,384,384,384,210,0.547,35,119,265,0,0,0,0,0,0,547,547,547,472,0.863,142,106,321,226
GU-500,264,199,194,0.975,109,155,0,60,193,71,109,54,54,1.0,0,7,25,75,34,155,155,145,140,0.966,35,118,37,0,0,0,0,0,0,101,101,101,53,0.525,64,10,37,64
HI-500,866,758,758,1,361,505,0,152,613,253,361,273,273,1.0,0,3,58,218,143,505,505,485,485,1,94,395,110,0,0,0,0,0,0,218,218,218,218,1.0,111,20,60,158
HI-501,3384,3283,3107,0.946,1161,2198,25,623,2408,976,1161,1078,1043,0.968,0,61,162,675,486,2198,2198,2180,2039,0.935,461,1733,465,25,25,25,25,1,25,849,849,849,804,0.947,344,55,197,652
IA-500,464,251,128,0.51,179,285,0,133,311,153,179,148,29,0.196,0,12,33,73,106,285,285,103,99,0.961,100,238,47,0,0,0,0,0,0,32,32,32,7,0.219,10,3,3,29
IA-501,2433,2012,1715,0.852,1014,1419,0,442,1543,890,1014,644,487,0.756,37,35,152,528,486,1419,1419,1368,1228,0.898,290,1015,404,0,0,0,0,0,0,398,398,398,306,0.769,53,50,164,234
IA-502,1085,1014,956,0.943,385,700,0,149,398,687,385,327,304,0.93,0,9,49,147,238,700,700,687,652,0.949,100,251,449,0,0,0,0,0,0,464,464,464,337,0.726,69,88,263,201
